sessionID,duration
ID01_Session02,00:00:10.844000
ID01_Session02,00:00:00.062000
ID01_Session02,00:00:07.156000
ID01_Session02,00:00:00.109000
ID01_Session02,00:00:11.188000
ID01_Session02,00:00:00.125000
ID01_Session02,00:00:27.781000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:00.156000
ID01_Session02,00:00:16.719000
ID01_Session02,00:00:00.078000
ID01_Session02,00:00:00.328000
ID01_Session02,00:00:00.078000
ID01_Session02,00:00:00.641000
ID01_Session02,00:00:00.078000
ID01_Session02,00:00:17.594000
ID01_Session02,00:00:00.109000
ID01_Session02,00:00:00.531000
ID01_Session02,00:00:00.110000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:43.453000
ID01_Session02,00:00:07.516000
ID01_Session02,00:00:01.640000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:41.702000
ID01_Session02,00:00:39.250000
ID01_Session02,00:00:11.844000
ID01_Session02,00:00:00.125000
ID01_Session02,00:00:00.109000
ID01_Session02,00:00:00.109000
ID01_Session02,00:00:00.500000
ID01_Session02,00:00:00.063000
ID01_Session02,00:00:00.672000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:00.719000
ID01_Session02,00:00:00.125000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:00.079000
ID01_Session02,00:00:00.391000
ID01_Session02,00:00:00.063000
ID01_Session02,00:00:00.547000
ID01_Session02,00:00:00.093000
ID01_Session02,00:00:00.515000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:00.515000
ID01_Session02,00:00:00.110000
ID01_Session02,00:00:00.484000
ID01_Session02,00:00:00.078000
ID01_Session02,00:00:00.797000
ID01_Session02,00:00:00.078000
ID01_Session02,00:00:09.984000
ID01_Session02,00:00:00.203000
ID01_Session02,00:00:02.156000
ID01_Session02,00:00:00.109000
ID01_Session02,00:00:00.516000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:42.453000
ID01_Session02,00:00:00.219000
ID01_Session02,00:00:00.218000
ID01_Session02,00:00:00.110000
ID01_Session02,00:00:09.249000
ID01_Session02,00:00:00.109000
ID01_Session02,00:00:03.032000
ID01_Session02,00:00:00.109000
ID01_Session02,00:00:00.110000
ID01_Session02,00:00:02.016000
ID01_Session02,00:00:00.078000
ID01_Session02,00:00:00.079000
ID01_Session02,00:00:00.828000
ID01_Session02,00:00:00.078000
ID01_Session02,00:00:00.109000
ID01_Session02,00:00:00.390000
ID01_Session02,00:00:00.079000
ID01_Session02,00:00:06.656000
ID01_Session02,00:00:06.297000
ID01_Session02,00:00:00.140000
ID01_Session02,00:00:00.125000
ID01_Session02,00:00:01.109000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:00.171000
ID01_Session02,00:00:15.219000
ID01_Session02,00:00:00.109000
ID01_Session02,00:00:00.141000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:00.469000
ID01_Session02,00:00:00.062000
ID01_Session02,00:00:39.594000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:00.110000
ID01_Session02,00:00:38.312000
ID01_Session02,00:00:02.672000
ID01_Session02,00:00:30.453000
ID01_Session02,00:00:00.984000
ID01_Session02,00:00:00.954000
ID01_Session02,00:00:00.484000
ID01_Session02,00:00:00.422000
ID01_Session02,00:00:00.437000
ID01_Session02,00:00:25.828000
ID01_Session02,00:00:00.407000
ID01_Session02,00:00:00.218000
ID01_Session02,00:00:00.407000
ID01_Session02,00:00:00.187000
ID01_Session02,00:00:00.203000
ID01_Session02,00:00:00.219000
ID01_Session02,00:00:00.203000
ID01_Session02,00:00:00.203000
ID01_Session02,00:00:00.406000
ID01_Session02,00:00:00.407000
ID01_Session02,00:00:09.875000
ID01_Session02,00:00:13.609000
ID01_Session02,00:00:00.422000
ID01_Session02,00:00:00.765000
ID01_Session02,00:00:05.203000
ID01_Session02,00:00:00.657000
ID01_Session02,00:00:13.343000
ID01_Session02,00:00:00.907000
ID01_Session02,00:00:00.953000
ID01_Session02,00:00:07.703000
ID01_Session02,00:00:01.390000
ID01_Session02,00:00:00.641000
ID01_Session02,00:00:06.344000
ID01_Session02,00:00:00.609000
ID01_Session02,00:00:00.563000
ID01_Session02,00:00:00.531000
ID01_Session02,00:01:18.171000
ID01_Session02,00:00:00.078000
ID01_Session02,00:00:18.547000
ID01_Session02,00:00:46.828000
ID01_Session02,00:00:00.078000
ID01_Session02,00:00:00.109000
ID01_Session02,00:00:00.125000
ID01_Session02,00:00:00.110000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:00.093000
ID01_Session02,00:00:00.062000
ID01_Session02,00:00:00.109000
ID01_Session02,00:00:00.063000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:00.109000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:00.078000
ID01_Session02,00:00:00.141000
ID01_Session02,00:00:15.203000
ID01_Session02,00:00:00.125000
ID01_Session02,00:00:00.391000
ID01_Session02,00:00:00.078000
ID01_Session02,00:00:08.094000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:01.641000
ID01_Session02,00:00:00.078000
ID01_Session02,00:00:00.125000
ID01_Session02,00:00:00.094000
ID01_Session02,00:00:00.125000
ID01_Session02,00:00:00.063000
ID01_Session02,00:00:00.110000
ID01_Session02,00:00:00.063000
ID01_Session02,00:00:00.078000
ID01_Session02,00:00:00.078000
ID01_Session02,00:00:00.047000
ID01_Session02,00:00:00.157000
ID01_Session02,00:00:00.125000
