id,userID,sessionID,actionTaken,actionTime,duration,originalRECNO,application,timeline,Window
69,ID01,ID01_Session01,Key pressed,16:11:29.917,00:00:00.203000,119,firefox.exe,00:18:06.087000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
70,ID01,ID01_Session01,Key pressed,16:11:30.120,00:00:00.297000,120,firefox.exe,00:18:06.290000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
71,ID01,ID01_Session01,Key pressed,16:11:30.417,00:00:00.250000,121,firefox.exe,00:18:06.587000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
72,ID01,ID01_Session01,Key pressed,16:11:30.667,00:00:00.500000,122,firefox.exe,00:18:06.837000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
73,ID01,ID01_Session01,Key pressed,16:11:31.167,00:00:00.250000,123,firefox.exe,00:18:07.337000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
74,ID01,ID01_Session01,Key pressed,16:11:31.417,00:00:01.422000,124,firefox.exe,00:18:07.587000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
75,ID01,ID01_Session01,Key pressed,16:11:32.839,00:00:06.703000,125,firefox.exe,00:18:09.009000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
76,ID01,ID01_Session01,Key pressed,16:11:39.542,00:00:00.219000,126,firefox.exe,00:18:15.712000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
77,ID01,ID01_Session01,Key pressed,16:11:39.761,00:00:00.531000,127,firefox.exe,00:18:15.931000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
78,ID01,ID01_Session01,Key pressed,16:11:40.292,00:00:00.219000,128,firefox.exe,00:18:16.462000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
79,ID01,ID01_Session01,Key pressed,16:11:40.511,00:00:01.390000,129,firefox.exe,00:18:16.681000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
80,ID01,ID01_Session01,Key pressed,16:11:41.901,00:00:00.766000,130,firefox.exe,00:18:18.071000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
81,ID01,ID01_Session01,Key pressed,16:11:42.667,00:00:42.781000,131,firefox.exe,00:18:18.837000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
82,ID01,ID01_Session01,Mouse wheel,16:12:25.448,00:00:16.109000,132,firefox.exe,00:19:01.618000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
83,ID01,ID01_Session01,Left mouse button pressed,16:12:41.557,00:00:00.891000,134,firefox.exe,00:19:17.727000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
84,ID01,ID01_Session01,Left mouse button pressed,16:12:42.776,00:00:00.062000,136,firefox.exe,00:19:18.946000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
85,ID01,ID01_Session01,Left mouse button pressed,16:12:43.635,00:00:00.485000,138,firefox.exe,00:19:19.805000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
86,ID01,ID01_Session01,Left mouse button pressed,16:12:44.276,00:00:00.094000,140,firefox.exe,00:19:20.446000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
87,ID01,ID01_Session01,Left mouse button pressed,16:12:45.292,00:00:00.578000,142,firefox.exe,00:19:21.462000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
88,ID01,ID01_Session01,Left mouse button pressed,16:12:46.026,00:00:00.078000,144,firefox.exe,00:19:22.196000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
89,ID01,ID01_Session01,Left mouse button pressed,16:12:46.713,00:00:00.610000,146,firefox.exe,00:19:22.883000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
90,ID01,ID01_Session01,Left mouse button pressed,16:12:47.463,00:00:00.094000,148,firefox.exe,00:19:23.633000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
91,ID01,ID01_Session01,Left mouse button pressed,16:12:48.323,00:00:00.719000,150,firefox.exe,00:19:24.493000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
92,ID01,ID01_Session01,Left mouse button pressed,16:12:49.245,00:00:00.093000,152,firefox.exe,00:19:25.415000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
93,ID01,ID01_Session01,Left mouse button pressed,16:12:49.635,00:00:00.422000,154,firefox.exe,00:19:25.805000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
94,ID01,ID01_Session01,Left mouse button pressed,16:12:50.213,00:00:00.078000,156,firefox.exe,00:19:26.383000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
95,ID01,ID01_Session01,Left mouse button pressed,16:12:51.229,00:00:00.516000,158,firefox.exe,00:19:27.399000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
96,ID01,ID01_Session01,Left mouse button pressed,16:12:51.885,00:00:00.094000,160,firefox.exe,00:19:28.055000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
97,ID01,ID01_Session01,Mouse wheel,16:12:52.495,00:00:01.171000,162,firefox.exe,00:19:28.665000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
98,ID01,ID01_Session01,Left mouse button pressed,16:12:53.666,00:00:00.625000,164,firefox.exe,00:19:29.836000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
99,ID01,ID01_Session01,Left mouse button pressed,16:12:54.526,00:00:00.125000,166,firefox.exe,00:19:30.696000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
100,ID01,ID01_Session01,Left mouse button pressed,16:12:55.291,00:00:00.110000,168,firefox.exe,00:19:31.461000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
101,ID01,ID01_Session01,Left mouse button pressed,16:12:58.260,00:00:00.141000,170,firefox.exe,00:19:34.430000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
102,ID01,ID01_Session01,Left mouse button pressed,16:13:04.698,00:00:00.484000,172,firefox.exe,00:19:40.868000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
103,ID01,ID01_Session01,Left mouse button pressed,16:13:05.370,00:00:00.078000,174,firefox.exe,00:19:41.540000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
104,ID01,ID01_Session01,Mouse wheel,16:13:07.932,00:00:04.969000,176,firefox.exe,00:19:44.102000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
105,ID01,ID01_Session01,Left mouse button pressed,16:13:12.901,00:00:00.484000,178,firefox.exe,00:19:49.071000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
106,ID01,ID01_Session01,Left mouse button pressed,16:13:13.604,00:00:00.078000,180,firefox.exe,00:19:49.774000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
107,ID01,ID01_Session01,Left mouse button pressed,16:13:14.948,00:00:00.468000,182,firefox.exe,00:19:51.118000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
108,ID01,ID01_Session01,Left mouse button pressed,16:13:15.588,00:00:00.078000,184,firefox.exe,00:19:51.758000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
109,ID01,ID01_Session01,Mouse wheel,16:16:13.290,00:00:09.719000,186,firefox.exe,00:22:49.460000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
110,ID01,ID01_Session01,Left mouse button pressed,16:16:23.009,00:00:00.078000,188,firefox.exe,00:22:59.179000,Boy, 12, faces grown up murde...es - CNN.com - Mozilla Firefox
111,ID01,ID01_Session01,Left mouse button pressed,16:16:26.259,00:00:00.109000,190,firefox.exe,00:23:02.429000,CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox
112,ID01,ID01_Session01,Left mouse button pressed,16:16:44.321,00:00:00.094000,192,firefox.exe,00:23:20.491000,CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox
113,ID01,ID01_Session01,Left mouse button pressed,16:17:01.556,00:00:00.828000,194,firefox.exe,00:23:37.726000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
114,ID01,ID01_Session01,Left mouse button pressed,16:17:02.618,00:00:00.078000,196,firefox.exe,00:23:38.788000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
115,ID01,ID01_Session01,Left mouse button pressed,16:17:03.290,00:00:00.469000,198,firefox.exe,00:23:39.460000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
116,ID01,ID01_Session01,Left mouse button pressed,16:17:03.962,00:00:00.109000,200,firefox.exe,00:23:40.132000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
117,ID01,ID01_Session01,Left mouse button pressed,16:17:04.634,00:00:00.312000,202,firefox.exe,00:23:40.804000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
118,ID01,ID01_Session01,Left mouse button pressed,16:17:05.071,00:00:00.094000,204,firefox.exe,00:23:41.241000,Toyota ranks low on list of a...eb. 10, 2010 - Mozilla Firefox
