Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info
2010:03:10,16:31:54,227,"uLog.exe"," ",Logging started,-1,-1,-1.00,-1.00,-1.00, 
2010:03:10,16:31:55,555,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,54,617,1148.86,2620.90,0.44, 
2010:03:10,16:31:55,633,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,54,617,0.00,0.00,0.00, 
2010:03:10,16:31:55,961,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,72,616,18.03,18.41,0.98, 
2010:03:10,16:31:56,914,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,273,608,0.00,0.00,1.00,1 Wheel actions
2010:03:10,16:31:56,914,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,273,608,201.16,221.86,0.91, 
2010:03:10,16:31:56,977,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,273,608,0.00,0.00,0.00, 
2010:03:10,16:31:59,836,"firefox.exe","'Lost Boys' star Corey Haim d...38 - CNN.com - Mozilla Firefox",Mouse wheel,441,527,186.51,1219.72,0.15, 
2010:03:10,16:32:00,461,"Explorer.EXE","4:31 PM",Mouse wheel stopped,440,529,0.00,0.00,1.00,2 Wheel actions
2010:03:10,16:32:00,696,"firefox.exe","'Lost Boys' star Corey Haim d...38 - CNN.com - Mozilla Firefox",Mouse wheel,422,542,22.20,27.31,0.81, 
2010:03:10,16:32:01,930,"firefox.exe","'Lost Boys' star Corey Haim d...38 - CNN.com - Mozilla Firefox",Mouse wheel stopped,556,570,0.00,0.00,1.00,5 Wheel actions
2010:03:10,16:32:01,930,"firefox.exe","'Lost Boys' star Corey Haim d...38 - CNN.com - Mozilla Firefox",Left mouse button pressed,556,570,116.02,119.20,0.97, 
2010:03:10,16:32:02,024,"firefox.exe","'Lost Boys' star Corey Haim d...38 - CNN.com - Mozilla Firefox",Left mouse button released,556,570,0.00,0.00,0.00, 
2010:03:10,16:32:02,321,"firefox.exe","'Lost Boys' star Corey Haim d...38 - CNN.com - Mozilla Firefox",Mouse wheel,556,570,0.00,0.00,0.00, 
2010:03:10,16:33:00,464,"Explorer.EXE","4:32 PM",Mouse wheel stopped,579,562,0.00,0.00,1.00,16 Wheel actions
2010:03:10,16:33:01,011,"firefox.exe","'Lost Boys' star Corey Haim d...38 - CNN.com - Mozilla Firefox",Mouse wheel,580,562,34.13,93.57,0.36, 
2010:03:10,16:34:00,467,"Explorer.EXE","4:33 PM",Mouse wheel stopped,588,580,0.00,0.00,1.00,9 Wheel actions
2010:03:10,16:34:18,217,"firefox.exe","'Lost Boys' star Corey Haim d...38 - CNN.com - Mozilla Firefox",Mouse wheel,585,596,14.04,69.00,0.20, 
2010:03:10,16:35:00,468,"Explorer.EXE","4:34 PM",Mouse wheel stopped,560,582,0.00,0.00,1.00,8 Wheel actions
2010:03:10,16:35:05,109,"firefox.exe","'Lost Boys' star Corey Haim d...38 - CNN.com - Mozilla Firefox",Mouse wheel,560,582,0.00,0.00,0.00, 
2010:03:10,16:36:00,469,"Explorer.EXE","4:35 PM",Mouse wheel stopped,556,573,0.00,0.00,1.00,7 Wheel actions
2010:03:10,16:36:00,860,"firefox.exe","'Lost Boys' star Corey Haim d...38 - CNN.com - Mozilla Firefox",Mouse wheel,556,573,0.00,0.00,0.00, 
2010:03:10,16:37:00,470,"Explorer.EXE","4:36 PM",Mouse wheel stopped,552,569,0.00,0.00,1.00,8 Wheel actions
2010:03:10,16:37:02,970,"firefox.exe","'Lost Boys' star Corey Haim d...38 - CNN.com - Mozilla Firefox",Mouse wheel,552,569,1.41,2.00,0.71, 
2010:03:10,16:38:00,472,"Explorer.EXE","4:37 PM",Mouse wheel stopped,541,563,0.00,0.00,1.00,7 Wheel actions
2010:03:10,16:38:03,284,"firefox.exe","'Lost Boys' star Corey Haim d...38 - CNN.com - Mozilla Firefox",Mouse wheel,540,563,1.00,1.00,1.00, 
2010:03:10,16:38:39,941,"firefox.exe","'Lost Boys' star Corey Haim d...38 - CNN.com - Mozilla Firefox",Mouse wheel stopped,1277,566,0.00,0.00,1.00,5 Wheel actions
2010:03:10,16:38:39,941,"firefox.exe","'Lost Boys' star Corey Haim d...38 - CNN.com - Mozilla Firefox",Left mouse button pressed,1277,566,743.03,789.00,0.94, 
2010:03:10,16:38:41,019,"Explorer.EXE","Program Manager",Left mouse button released,1280,200,366.01,379.76,0.96, 
2010:03:10,16:38:42,816,"firefox.exe","'Lost Boys' star Corey Haim d...38 - CNN.com - Mozilla Firefox",Left mouse button pressed,14,59,1273.83,1390.22,0.92, 
2010:03:10,16:38:42,894,"firefox.exe","'Lost Boys' star Corey Haim d...38 - CNN.com - Mozilla Firefox",Left mouse button released,14,59,0.00,0.00,0.00, 
2010:03:10,16:38:47,285,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,308,651,660.98,1061.82,0.62, 
2010:03:10,16:38:47,426,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,308,651,0.00,0.00,0.00, 
2010:03:10,16:38:48,894,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Mouse wheel,385,678,81.60,83.22,0.98, 
2010:03:10,16:39:00,473,"Explorer.EXE","4:38 PM",Mouse wheel stopped,515,563,0.00,0.00,1.00,9 Wheel actions
2010:03:10,16:39:23,926,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Mouse wheel,639,626,138.20,288.81,0.48, 
2010:03:10,16:40:00,473,"Explorer.EXE","4:39 PM",Mouse wheel stopped,616,587,0.00,0.00,1.00,7 Wheel actions
2010:03:10,16:40:09,208,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Mouse wheel,600,588,28.02,29.00,0.97, 
2010:03:10,16:41:00,474,"Explorer.EXE","4:40 PM",Mouse wheel stopped,580,592,0.00,0.00,1.00,8 Wheel actions
2010:03:10,16:41:03,974,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Mouse wheel,579,592,3.16,4.00,0.79, 
2010:03:10,16:42:00,475,"Explorer.EXE","4:41 PM",Mouse wheel stopped,505,528,0.00,0.00,1.00,9 Wheel actions
2010:03:10,16:42:01,397,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Mouse wheel,505,528,11.05,12.00,0.92, 
2010:03:10,16:43:00,476,"Explorer.EXE","4:42 PM",Mouse wheel stopped,565,530,0.00,0.00,1.00,7 Wheel actions
2010:03:10,16:43:02,023,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Mouse wheel,562,531,100.50,157.07,0.64, 
2010:03:10,16:44:00,476,"Explorer.EXE","4:43 PM",Mouse wheel stopped,599,485,0.00,0.00,1.00,10 Wheel actions
2010:03:10,16:44:03,101,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Mouse wheel,593,491,9.22,13.00,0.71, 
2010:03:10,16:44:19,383,"agent.exe","<Unknown window>",Mouse wheel stopped,586,478,0.00,0.00,1.00,2 Wheel actions
2010:03:10,16:44:19,773,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Mouse wheel,586,478,5.10,26.00,0.20, 
2010:03:10,16:45:00,477,"Explorer.EXE","4:44 PM",Mouse wheel stopped,582,456,0.00,0.00,1.00,6 Wheel actions
2010:03:10,16:45:01,321,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Mouse wheel,582,456,22.80,264.13,0.09, 
2010:03:10,16:45:45,586,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Mouse wheel stopped,598,573,0.00,0.00,1.00,2 Wheel actions
2010:03:10,16:45:45,586,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Left mouse button pressed,598,573,113.60,775.91,0.15, 
2010:03:10,16:45:46,336,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Left mouse button released,587,554,21.95,28.83,0.76, 
2010:03:10,16:45:46,446,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Left mouse button pressed,587,554,0.00,0.00,0.00, 
2010:03:10,16:45:46,555,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Left mouse button released,587,554,0.00,0.00,0.00, 
2010:03:10,16:45:47,211,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Mouse wheel,587,554,0.00,0.00,0.00, 
2010:03:10,16:45:48,399,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Mouse wheel stopped,446,557,0.00,0.00,1.00,1 Wheel actions
2010:03:10,16:45:48,399,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Left mouse button pressed,446,557,141.03,171.41,0.82, 
2010:03:10,16:45:49,040,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Left mouse button released,655,613,216.37,219.85,0.98, 
2010:03:10,16:45:49,102,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Left mouse button pressed,655,613,0.00,0.00,0.00, 
2010:03:10,16:45:49,227,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Left mouse button released,655,613,0.00,0.00,0.00, 
2010:03:10,16:45:49,430,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Left mouse button pressed,659,621,8.94,9.66,0.93, 
2010:03:10,16:45:49,805,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Left mouse button released,544,554,133.09,135.53,0.98, 
2010:03:10,16:45:49,915,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Left mouse button pressed,543,553,1.41,2.00,0.71, 
2010:03:10,16:45:49,993,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Left mouse button released,543,553,0.00,0.00,0.00, 
2010:03:10,16:45:52,415,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Left mouse button pressed,337,546,206.12,541.00,0.38, 
2010:03:10,16:45:53,415,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Left mouse button released,652,639,328.44,335.45,0.98, 
2010:03:10,16:45:53,587,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Left mouse button pressed,652,639,0.00,0.00,0.00, 
2010:03:10,16:45:53,696,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Left mouse button released,652,639,0.00,0.00,0.00, 
2010:03:10,16:46:09,024,"firefox.exe","Police say suspect in terror ...05 - CNN.com - Mozilla Firefox",Left mouse button pressed,1271,581,621.71,1079.90,0.58, 
2010:03:10,16:46:10,899,"Explorer.EXE","Program Manager",Left mouse button released,1364,278,316.95,556.25,0.57, 
