Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info
2010:03:22,18:43:04,865,"uLog.exe"," ",Logging started,-1,-1,-1.00,-1.00,-1.00, 
2010:03:22,18:43:08,084,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,1134,17,968.53,1920.06,0.50, 
2010:03:22,18:43:08,194,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,1134,17,0.00,0.00,0.00, 
2010:03:22,18:43:12,006,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,294,517,977.55,1340.73,0.73, 
2010:03:22,18:43:12,131,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,294,517,0.00,0.00,0.00, 
2010:03:22,18:43:15,162,"firefox.exe","Texas lawmaker: I yelled 'It'...r' - CNN.com - Mozilla Firefox",Mouse wheel,343,566,69.30,71.37,0.97, 
2010:03:22,18:44:00,304,"Explorer.EXE","6:43 PM",Mouse wheel stopped,780,499,0.00,0.00,1.00,14 Wheel actions
2010:03:22,18:44:48,429,"firefox.exe","Texas lawmaker: I yelled 'It'...r' - CNN.com - Mozilla Firefox",Mouse wheel,756,483,28.84,53.26,0.54, 
2010:03:22,18:45:00,304,"Explorer.EXE","6:44 PM",Mouse wheel stopped,775,611,0.00,0.00,1.00,3 Wheel actions
2010:03:22,18:45:11,476,"firefox.exe","Texas lawmaker: I yelled 'It'...r' - CNN.com - Mozilla Firefox",Mouse wheel,785,507,37.64,2919.72,0.01, 
2010:03:22,18:45:26,414,"firefox.exe","Texas lawmaker: I yelled 'It'...r' - CNN.com - Mozilla Firefox",Mouse wheel stopped,14,61,0.00,0.00,1.00,37 Wheel actions
2010:03:22,18:45:26,414,"firefox.exe","Texas lawmaker: I yelled 'It'...r' - CNN.com - Mozilla Firefox",Left mouse button pressed,14,61,360.83,374.96,0.96, 
2010:03:22,18:45:26,476,"firefox.exe","Texas lawmaker: I yelled 'It'...r' - CNN.com - Mozilla Firefox",Left mouse button released,14,61,0.00,0.00,0.00, 
2010:03:22,18:45:58,086,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,307,651,658.75,2411.53,0.27, 
2010:03:22,18:46:00,305,"Explorer.EXE","6:45 PM",Mouse wheel stopped,309,787,0.00,0.00,1.00,2 Wheel actions
2010:03:22,18:46:02,664,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,294,774,138.08,735.18,0.19, 
2010:03:22,18:46:02,773,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,294,774,0.00,0.00,0.00, 
2010:03:22,18:46:23,102,"firefox.exe","Psychologists: Memorials can ...es - CNN.com - Mozilla Firefox",Mouse wheel,692,633,422.24,1620.89,0.26, 
2010:03:22,18:47:00,305,"Explorer.EXE","6:46 PM",Mouse wheel stopped,298,687,0.00,0.00,1.00,13 Wheel actions
2010:03:22,18:47:01,383,"firefox.exe","Psychologists: Memorials can ...es - CNN.com - Mozilla Firefox",Mouse wheel,298,687,0.00,0.00,0.00, 
2010:03:22,18:47:55,227,"firefox.exe","Psychologists: Memorials can ...es - CNN.com - Mozilla Firefox",Mouse wheel stopped,24,60,0.00,0.00,1.00,7 Wheel actions
2010:03:22,18:47:55,227,"firefox.exe","Psychologists: Memorials can ...es - CNN.com - Mozilla Firefox",Left mouse button pressed,24,60,672.24,880.41,0.76, 
2010:03:22,18:47:55,383,"firefox.exe","Psychologists: Memorials can ...es - CNN.com - Mozilla Firefox",Left mouse button released,24,60,0.00,0.00,0.00, 
2010:03:22,18:48:12,774,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,521,863,944.36,1710.96,0.55, 
2010:03:22,18:48:13,696,"agent.exe","<Unknown window>",Mouse wheel stopped,520,858,0.00,0.00,1.00,4 Wheel actions
2010:03:22,18:48:13,727,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,520,858,4.00,4.00,1.00, 
2010:03:22,18:48:18,321,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,271,677,0.00,0.00,1.00,18 Wheel actions
2010:03:22,18:48:18,321,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,271,677,211.12,286.13,0.74, 
2010:03:22,18:48:18,493,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,271,677,0.00,0.00,0.00, 
2010:03:22,18:48:22,852,"firefox.exe","Regional Barista Championship... CNN iReport - Mozilla Firefox",Mouse wheel,306,697,40.31,310.03,0.13, 
2010:03:22,18:48:25,884,"firefox.exe","Regional Barista Championship... CNN iReport - Mozilla Firefox",Mouse wheel stopped,687,580,0.00,0.00,1.00,1 Wheel actions
2010:03:22,18:48:25,884,"firefox.exe","Regional Barista Championship... CNN iReport - Mozilla Firefox",Left mouse button pressed,687,580,398.56,710.60,0.56, 
2010:03:22,18:48:26,024,"firefox.exe","Regional Barista Championship... CNN iReport - Mozilla Firefox",Left mouse button released,687,580,0.00,0.00,0.00, 
2010:03:22,18:48:26,821,"firefox.exe","Regional Barista Championship... CNN iReport - Mozilla Firefox",Left mouse button pressed,914,588,227.14,231.62,0.98, 
2010:03:22,18:48:26,977,"firefox.exe","Regional Barista Championship... CNN iReport - Mozilla Firefox",Left mouse button released,914,588,0.00,0.00,0.00, 
2010:03:22,18:48:28,384,"firefox.exe","Regional Barista Championship... CNN iReport - Mozilla Firefox",Left mouse button pressed,343,720,586.06,633.91,0.92, 
