Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info
2010:02:17,16:44:55,656,"uLog.exe"," ",Logging started,-1,-1,-1.00,-1.00,-1.00, 
2010:02:17,16:45:02,438,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,321,557,642.88,1998.78,0.32, 
2010:02:17,16:45:02,625,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,321,557,0.00,0.00,0.00, 
2010:02:17,16:45:08,078,"firefox.exe","8 Americans detained in Haiti...in - CNN.com - Mozilla Firefox",Left mouse button pressed,1243,22,1065.98,1366.10,0.78, 
2010:02:17,16:45:08,188,"firefox.exe","8 Americans detained in Haiti...in - CNN.com - Mozilla Firefox",Left mouse button released,1243,22,0.00,0.00,0.00, 
2010:02:17,16:45:09,375,"firefox.exe","8 Americans detained in Haiti...in - CNN.com - Mozilla Firefox",Mouse wheel,810,503,647.19,658.99,0.98, 
2010:02:17,16:46:00,329,"Explorer.EXE","4:45 PM",Mouse wheel stopped,774,527,0.00,0.00,1.00,11 Wheel actions
2010:02:17,16:46:04,219,"firefox.exe","8 Americans detained in Haiti...in - CNN.com - Mozilla Firefox",Mouse wheel,774,527,2.00,2.00,1.00, 
2010:02:17,16:46:27,344,"firefox.exe","8 Americans detained in Haiti...in - CNN.com - Mozilla Firefox",Mouse wheel stopped,23,55,0.00,0.00,1.00,8 Wheel actions
2010:02:17,16:46:27,344,"firefox.exe","8 Americans detained in Haiti...in - CNN.com - Mozilla Firefox",Left mouse button pressed,23,55,624.86,645.21,0.97, 
2010:02:17,16:46:27,501,"firefox.exe","8 Americans detained in Haiti...in - CNN.com - Mozilla Firefox",Left mouse button released,23,55,0.00,0.00,0.00, 
2010:02:17,16:46:31,001,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,468,560,673.09,1297.59,0.52, 
2010:02:17,16:46:42,938,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,222,440,0.00,0.00,1.00,4 Wheel actions
2010:02:17,16:46:42,938,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,222,440,198.21,473.81,0.42, 
2010:02:17,16:46:43,110,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,222,440,0.00,0.00,0.00, 
2010:02:17,16:46:44,844,"firefox.exe","Police: University shooting s...02 - CNN.com - Mozilla Firefox",Mouse wheel,723,547,512.30,581.91,0.88, 
2010:02:17,16:47:00,329,"Explorer.EXE","4:46 PM",Mouse wheel stopped,780,558,0.00,0.00,1.00,2 Wheel actions
2010:02:17,16:47:02,485,"firefox.exe","Police: University shooting s...02 - CNN.com - Mozilla Firefox",Mouse wheel,780,558,4.00,24.00,0.17, 
2010:02:17,16:48:00,329,"Explorer.EXE","4:47 PM",Mouse wheel stopped,780,557,0.00,0.00,1.00,3 Wheel actions
2010:02:17,16:48:12,033,"firefox.exe","Police: University shooting s...02 - CNN.com - Mozilla Firefox",Mouse wheel,779,559,2.24,5.00,0.45, 
2010:02:17,16:49:00,330,"Explorer.EXE","4:48 PM",Mouse wheel stopped,690,539,0.00,0.00,1.00,12 Wheel actions
2010:02:17,16:49:08,642,"firefox.exe","Police: University shooting s...02 - CNN.com - Mozilla Firefox",Mouse wheel,697,531,80.96,224.96,0.36, 
2010:02:17,16:49:13,345,"agent.exe","<Unknown window>",Mouse wheel stopped,697,528,0.00,0.00,1.00,10 Wheel actions
2010:02:17,16:49:13,955,"firefox.exe","Police: University shooting s...02 - CNN.com - Mozilla Firefox",Mouse wheel,697,525,3.00,3.00,1.00, 
2010:02:17,16:50:00,330,"Explorer.EXE","4:49 PM",Mouse wheel stopped,826,615,0.00,0.00,1.00,12 Wheel actions
2010:02:17,16:50:31,815,"firefox.exe","Police: University shooting s...02 - CNN.com - Mozilla Firefox",Mouse wheel,835,609,160.02,249.50,0.64, 
2010:02:17,16:51:00,330,"Explorer.EXE","4:50 PM",Mouse wheel stopped,852,633,0.00,0.00,1.00,2 Wheel actions
2010:02:17,16:51:01,706,"firefox.exe","Police: University shooting s...02 - CNN.com - Mozilla Firefox",Mouse wheel,857,603,22.80,294.82,0.08, 
2010:02:17,16:51:07,846,"firefox.exe","Police: University shooting s...02 - CNN.com - Mozilla Firefox",Mouse wheel stopped,23,61,0.00,0.00,1.00,29 Wheel actions
2010:02:17,16:51:07,846,"firefox.exe","Police: University shooting s...02 - CNN.com - Mozilla Firefox",Left mouse button pressed,23,61,448.53,553.26,0.81, 
2010:02:17,16:51:08,018,"firefox.exe","Police: University shooting s...02 - CNN.com - Mozilla Firefox",Left mouse button released,23,61,0.00,0.00,0.00, 
2010:02:17,16:51:12,768,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,271,455,465.55,1349.61,0.34, 
2010:02:17,16:51:22,003,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,188,461,0.00,0.00,1.00,1 Wheel actions
