Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info
2010:02:22,18:03:21,013,"uLog.exe"," ",Logging started,-1,-1,-1.00,-1.00,-1.00, 
2010:02:22,18:03:25,216,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,795,21,795.28,2207.76,0.36, 
2010:02:22,18:03:25,279,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,795,21,0.00,0.00,0.00, 
2010:02:22,18:03:25,357,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,795,21,0.00,0.00,0.00, 
2010:02:22,18:03:25,404,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,795,21,0.00,0.00,0.00, 
2010:02:22,18:03:31,951,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,92,504,852.93,1095.33,0.78, 
2010:02:22,18:03:40,951,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,215,674,0.00,0.00,1.00,3 Wheel actions
2010:02:22,18:03:40,951,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Right mouse button pressed,215,674,209.83,238.26,0.88, 
2010:02:22,18:03:41,076,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Right mouse button released,215,674,0.00,0.00,0.00, 
2010:02:22,18:03:41,920,"firefox.exe","<Unknown window>",Left mouse button pressed,243,697,36.24,42.24,0.86, 
2010:02:22,18:03:42,014,"firefox.exe","<Unknown window>",Left mouse button released,243,697,0.00,0.00,0.00, 
2010:02:22,18:03:48,811,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Right mouse button pressed,237,722,25.71,167.36,0.15, 
2010:02:22,18:03:48,936,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Right mouse button released,237,722,0.00,0.00,0.00, 
2010:02:22,18:03:49,920,"firefox.exe","<Unknown window>",Left mouse button pressed,263,749,37.48,42.51,0.88, 
2010:02:22,18:03:50,014,"firefox.exe","<Unknown window>",Left mouse button released,263,749,0.00,0.00,0.00, 
2010:02:22,18:03:52,967,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Right mouse button pressed,255,740,12.04,17.83,0.68, 
2010:02:22,18:03:53,170,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Right mouse button released,255,740,0.00,0.00,0.00, 
2010:02:22,18:03:54,452,"firefox.exe","<Unknown window>",Left mouse button pressed,282,765,36.80,46.32,0.79, 
2010:02:22,18:03:54,546,"firefox.exe","<Unknown window>",Left mouse button released,282,765,0.00,0.00,0.00, 
2010:02:22,18:03:58,999,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Right mouse button pressed,276,642,123.15,171.08,0.72, 
2010:02:22,18:03:59,108,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Right mouse button released,276,642,0.00,0.00,0.00, 
2010:02:22,18:04:00,015,"firefox.exe","<Unknown window>",Left mouse button pressed,303,668,37.48,46.02,0.81, 
2010:02:22,18:04:00,077,"firefox.exe","<Unknown window>",Left mouse button released,303,668,0.00,0.00,0.00, 
2010:02:22,18:04:04,483,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,306,578,90.05,306.59,0.29, 
2010:02:22,18:04:07,640,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,786,116,0.00,0.00,1.00,15 Wheel actions
2010:02:22,18:04:07,640,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,786,116,624.09,809.58,0.77, 
2010:02:22,18:04:07,702,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,786,116,0.00,0.00,0.00, 
2010:02:22,18:04:13,015,"firefox.exe","Video - Breaking News Videos from CNN.com - Mozilla Firefox",Mouse wheel,86,614,859.07,906.84,0.95, 
2010:02:22,18:04:33,547,"firefox.exe","Video - Breaking News Videos from CNN.com - Mozilla Firefox",Mouse wheel stopped,221,627,0.00,0.00,1.00,1 Wheel actions
