Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info
2010:03:05,15:30:30,090,"uLog.exe"," ",Logging started,-1,-1,-1.00,-1.00,-1.00, 
2010:03:05,15:30:40,106,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,722,790,1070.23,3708.90,0.29, 
2010:03:05,15:30:41,434,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,400,632,0.00,0.00,1.00,2 Wheel actions
2010:03:05,15:30:41,434,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,400,632,35.90,38.55,0.93, 
2010:03:05,15:30:41,590,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,400,632,0.00,0.00,0.00, 
2010:03:05,15:30:41,793,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,400,632,0.00,0.00,0.00, 
2010:03:05,15:30:52,059,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,811,723,0.00,0.00,1.00,1 Wheel actions
2010:03:05,15:30:52,059,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,811,723,420.95,1194.10,0.35, 
2010:03:05,15:30:52,152,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,811,723,0.00,0.00,0.00, 
2010:03:05,15:30:54,606,"firefox.exe","Holly Graf: Navy Relieves Har...wpens - TIME - Mozilla Firefox",Mouse wheel,811,719,4.00,4.00,1.00, 
2010:03:05,15:31:00,621,"Explorer.EXE","3:30 PM",Mouse wheel stopped,811,719,0.00,0.00,1.00,3 Wheel actions
2010:03:05,15:31:03,262,"firefox.exe","Holly Graf: Navy Relieves Har...wpens - TIME - Mozilla Firefox",Mouse wheel,811,719,0.00,0.00,0.00, 
2010:03:05,15:32:00,622,"Explorer.EXE","3:31 PM",Mouse wheel stopped,783,712,0.00,0.00,1.00,12 Wheel actions
