Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info
2010:03:22,17:46:54,622,"uLog.exe"," ",Logging started,-1,-1,-1.00,-1.00,-1.00, 
2010:03:22,17:46:57,684,"Explorer.EXE","<Unknown window>",Left mouse button pressed,1100,941,1447.58,3074.20,0.47, 
2010:03:22,17:46:57,747,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,1100,941,0.00,0.00,0.00, 
2010:03:22,17:46:58,731,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,1166,739,212.51,248.74,0.85, 
2010:03:22,17:46:59,263,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,1173,710,0.00,0.00,1.00,2 Wheel actions
2010:03:22,17:46:59,263,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,1173,710,25.96,30.48,0.85, 
2010:03:22,17:46:59,372,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,1173,710,0.00,0.00,0.00, 
2010:03:22,17:46:59,622,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,1174,692,18.03,19.65,0.92, 
2010:03:22,17:47:00,216,"Explorer.EXE","5:46 PM",Mouse wheel stopped,1164,656,0.00,0.00,1.00,3 Wheel actions
2010:03:22,17:47:02,950,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,775,598,408.27,478.88,0.85, 
2010:03:22,17:47:10,560,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,608,678,0.00,0.00,1.00,5 Wheel actions
2010:03:22,17:47:10,560,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,608,678,177.10,193.79,0.91, 
2010:03:22,17:47:10,653,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,608,678,0.00,0.00,0.00, 
2010:03:22,17:47:12,982,"firefox.exe","Geek Out!: What will we get f...NN.com Blogs - Mozilla Firefox",Mouse wheel,660,548,140.01,143.67,0.97, 
2010:03:22,17:47:27,810,"agent.exe","<Unknown window>",Mouse wheel stopped,655,548,0.00,0.00,1.00,5 Wheel actions
2010:03:22,17:49:09,671,"firefox.exe","Geek Out!: What will we get f...NN.com Blogs - Mozilla Firefox",Mouse wheel,504,626,169.96,241.89,0.70, 
2010:03:22,17:50:00,218,"Explorer.EXE","5:49 PM",Mouse wheel stopped,29,57,0.00,0.00,1.00,11 Wheel actions
2010:03:22,17:50:03,718,"firefox.exe","Geek Out!: What will we get f...NN.com Blogs - Mozilla Firefox",Left mouse button pressed,30,57,840.10,914.36,0.92, 
2010:03:22,17:50:03,905,"firefox.exe","Geek Out!: What will we get f...NN.com Blogs - Mozilla Firefox",Left mouse button released,30,57,0.00,0.00,0.00, 
2010:03:22,17:50:23,765,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,755,742,997.42,1174.21,0.85, 
2010:03:22,17:50:46,843,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,699,306,0.00,0.00,1.00,15 Wheel actions
