Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info
2010:03:24,15:59:12,448,"uLog.exe"," ",Logging started,-1,-1,-1.00,-1.00,-1.00, 
2010:03:24,15:59:18,854,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,110,582,592.30,3900.43,0.15, 
2010:03:24,15:59:18,933,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,110,582,0.00,0.00,0.00, 
2010:03:24,15:59:22,636,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,240,637,141.16,213.61,0.66, 
2010:03:24,15:59:22,776,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,240,637,0.00,0.00,0.00, 
2010:03:24,16:00:44,027,"firefox.exe","Wikipedia down after server m...NN.com Blogs - Mozilla Firefox",Mouse wheel,6,577,241.57,373.08,0.65, 
2010:03:24,16:00:58,871,"firefox.exe","Wikipedia down after server m...NN.com Blogs - Mozilla Firefox",Mouse wheel stopped,48,601,0.00,0.00,1.00,5 Wheel actions
2010:03:24,16:00:58,871,"firefox.exe","Wikipedia down after server m...NN.com Blogs - Mozilla Firefox",Middle mouse button pressed,48,601,602.91,3270.96,0.18, 
2010:03:24,16:00:59,277,"firefox.exe","Wikipedia down after server m...NN.com Blogs - Mozilla Firefox",Middle mouse button released,48,601,0.00,0.00,0.00, 
2010:03:24,16:01:20,965,"firefox.exe","Wikipedia down after server m...NN.com Blogs - Mozilla Firefox",Middle mouse button pressed,42,550,51.35,215.59,0.24, 
2010:03:24,16:01:21,246,"firefox.exe","Wikipedia down after server m...NN.com Blogs - Mozilla Firefox",Middle mouse button released,41,550,1.00,1.00,1.00, 
2010:03:24,16:01:25,668,"firefox.exe","Wikipedia down after server m...NN.com Blogs - Mozilla Firefox",Middle mouse button pressed,36,550,5.00,5.00,1.00, 
2010:03:24,16:01:25,887,"firefox.exe","Wikipedia down after server m...NN.com Blogs - Mozilla Firefox",Middle mouse button released,35,550,1.00,1.00,1.00, 
2010:03:24,16:01:26,793,"firefox.exe","Wikipedia down after server m...NN.com Blogs - Mozilla Firefox",Middle mouse button pressed,48,498,53.60,110.79,0.48, 
2010:03:24,16:01:27,012,"firefox.exe","Wikipedia down after server m...NN.com Blogs - Mozilla Firefox",Middle mouse button released,48,498,0.00,0.00,0.00, 
2010:03:24,16:01:28,480,"firefox.exe","Wikipedia down after server m...NN.com Blogs - Mozilla Firefox",Left mouse button pressed,19,63,514.16,866.07,0.59, 
2010:03:24,16:01:28,590,"firefox.exe","Wikipedia down after server m...NN.com Blogs - Mozilla Firefox",Left mouse button released,19,63,0.00,0.00,0.00, 
2010:03:24,16:01:37,012,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,191,704,663.68,906.98,0.73, 
2010:03:24,16:01:37,168,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,191,704,0.00,0.00,0.00, 
2010:03:24,16:02:30,043,"firefox.exe","Obama to sign executive order...ay - CNN.com - Mozilla Firefox",Mouse wheel,48,688,143.89,161.71,0.89, 
2010:03:24,16:03:00,309,"Explorer.EXE","4:02 PM",Mouse wheel stopped,34,691,0.00,0.00,1.00,4 Wheel actions
2010:03:24,16:03:03,168,"firefox.exe","Obama to sign executive order...ay - CNN.com - Mozilla Firefox",Mouse wheel,34,692,1.41,6.00,0.24, 
2010:03:24,16:04:00,309,"Explorer.EXE","4:03 PM",Mouse wheel stopped,45,696,0.00,0.00,1.00,5 Wheel actions
2010:03:24,16:04:22,591,"firefox.exe","Obama to sign executive order...ay - CNN.com - Mozilla Firefox",Mouse wheel,39,695,6.08,12.41,0.49, 
2010:03:24,16:05:00,310,"Explorer.EXE","4:04 PM",Mouse wheel stopped,21,701,0.00,0.00,1.00,4 Wheel actions
2010:03:24,16:05:00,591,"firefox.exe","Obama to sign executive order...ay - CNN.com - Mozilla Firefox",Mouse wheel,10,712,16.28,26.66,0.61, 
2010:03:24,16:05:44,841,"firefox.exe","Obama to sign executive order...ay - CNN.com - Mozilla Firefox",Mouse wheel stopped,614,931,0.00,0.00,1.00,11 Wheel actions
2010:03:24,16:05:44,841,"firefox.exe","Obama to sign executive order...ay - CNN.com - Mozilla Firefox",Left mouse button pressed,614,931,649.57,749.65,0.87, 
2010:03:24,16:05:44,982,"firefox.exe","Obama to sign executive order...ay - CNN.com - Mozilla Firefox",Left mouse button released,614,931,0.00,0.00,0.00, 
2010:03:24,16:05:46,685,"firefox.exe","Obama to sign executive order...ay - CNN.com - Mozilla Firefox",Mouse wheel,101,844,520.32,552.53,0.94, 
2010:03:24,16:06:00,310,"Explorer.EXE","4:05 PM",Mouse wheel stopped,94,839,0.00,0.00,1.00,6 Wheel actions
2010:03:24,16:06:01,045,"firefox.exe","Obama to sign executive order...ay - CNN.com - Mozilla Firefox",Mouse wheel,94,839,0.00,0.00,0.00, 
2010:03:24,16:07:00,311,"Explorer.EXE","4:06 PM",Mouse wheel stopped,78,819,0.00,0.00,1.00,10 Wheel actions
2010:03:24,16:07:04,123,"firefox.exe","Obama to sign executive order...ay - CNN.com - Mozilla Firefox",Mouse wheel,78,819,0.00,0.00,0.00, 
2010:03:24,16:08:00,311,"Explorer.EXE","4:07 PM",Mouse wheel stopped,75,816,0.00,0.00,1.00,14 Wheel actions
2010:03:24,16:08:21,389,"firefox.exe","Obama to sign executive order...ay - CNN.com - Mozilla Firefox",Mouse wheel,71,808,13.04,60.97,0.21, 
2010:03:24,16:08:25,686,"firefox.exe","Obama to sign executive order...ay - CNN.com - Mozilla Firefox",Mouse wheel stopped,66,807,0.00,0.00,1.00,2 Wheel actions
2010:03:24,16:08:25,686,"firefox.exe","Obama to sign executive order...ay - CNN.com - Mozilla Firefox",Middle mouse button pressed,66,807,309.52,3122.83,0.10, 
2010:03:24,16:08:25,905,"firefox.exe","Obama to sign executive order...ay - CNN.com - Mozilla Firefox",Middle mouse button released,66,807,0.00,0.00,0.00, 
2010:03:24,16:08:44,530,"firefox.exe","Obama to sign executive order...ay - CNN.com - Mozilla Firefox",Middle mouse button pressed,40,617,191.77,303.69,0.63, 
2010:03:24,16:08:44,733,"firefox.exe","Obama to sign executive order...ay - CNN.com - Mozilla Firefox",Middle mouse button released,40,617,0.00,0.00,0.00, 
2010:03:24,16:08:45,874,"firefox.exe","Obama to sign executive order...ay - CNN.com - Mozilla Firefox",Left mouse button pressed,27,68,740.08,870.26,0.85, 
