Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info
2010:02:24,17:42:29,719,"uLog.exe"," ",Logging started,-1,-1,-1.00,-1.00,-1.00, 
2010:02:24,17:43:00,765,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,1075,11,971.50,3013.72,0.32, 
2010:02:24,17:43:01,125,"Explorer.EXE","Program Manager",Left mouse button released,1798,27,723.18,732.85,0.99, 
2010:02:24,17:43:02,234,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,1161,10,637.23,698.24,0.91, 
2010:02:24,17:43:02,297,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,1161,10,0.00,0.00,0.00, 
2010:02:24,17:43:02,390,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,1161,10,0.00,0.00,0.00, 
2010:02:24,17:43:02,484,"Explorer.EXE","Program Manager",Left mouse button released,1161,10,0.00,0.00,0.00, 
2010:02:24,17:43:03,750,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,983,146,224.01,254.27,0.88, 
2010:02:24,17:43:04,609,"Explorer.EXE","Program Manager",Left mouse button released,1090,9,173.83,213.14,0.82, 
2010:02:24,17:43:09,359,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,1077,11,13.15,14.41,0.91, 
2010:02:24,17:43:09,469,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,1077,11,0.00,0.00,0.00, 
2010:02:24,17:43:09,578,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,1077,11,0.00,0.00,0.00, 
2010:02:24,17:43:09,734,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,1077,11,0.00,0.00,0.00, 
2010:02:24,17:43:21,656,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,710,494,606.61,708.56,0.86, 
