Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info
2010:03:03,17:31:07,370,"uLog.exe"," ",Logging started,-1,-1,-1.00,-1.00,-1.00, 
2010:03:03,17:31:09,339,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,913,312,964.84,3133.47,0.31, 
2010:03:03,17:31:09,433,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,913,312,0.00,0.00,0.00, 
2010:03:03,17:31:44,558,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,543,703,538.31,2218.17,0.24, 
2010:03:03,17:31:44,683,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,543,703,0.00,0.00,0.00, 
2010:03:03,17:31:54,027,"firefox.exe","Whatever happened to bin Lade...NN.com Blogs - Mozilla Firefox",Mouse wheel,725,513,263.10,760.34,0.35, 
2010:03:03,17:32:00,480,"explorer.exe","5:31 PM",Mouse wheel stopped,725,513,0.00,0.00,1.00,7 Wheel actions
2010:03:03,17:32:37,215,"firefox.exe","Whatever happened to bin Lade...NN.com Blogs - Mozilla Firefox",Mouse wheel,776,400,123.98,4075.81,0.03, 
2010:03:03,17:32:57,090,"agent.exe","<Unknown window>",Mouse wheel stopped,699,341,0.00,0.00,1.00,5 Wheel actions
2010:03:03,17:33:03,074,"firefox.exe","Whatever happened to bin Lade...NN.com Blogs - Mozilla Firefox",Mouse wheel,699,341,97.01,165.20,0.59, 
2010:03:03,17:34:00,481,"explorer.exe","5:33 PM",Mouse wheel stopped,686,326,0.00,0.00,1.00,10 Wheel actions
2010:03:03,17:34:23,106,"firefox.exe","Whatever happened to bin Lade...NN.com Blogs - Mozilla Firefox",Mouse wheel,686,326,0.00,0.00,0.00, 
2010:03:03,17:35:00,481,"explorer.exe","5:34 PM",Mouse wheel stopped,771,255,0.00,0.00,1.00,4 Wheel actions
2010:03:03,17:35:00,747,"firefox.exe","Whatever happened to bin Lade...NN.com Blogs - Mozilla Firefox",Mouse wheel,771,255,110.75,172.12,0.64, 
2010:03:03,17:36:00,482,"explorer.exe","5:35 PM",Mouse wheel stopped,772,205,0.00,0.00,1.00,3 Wheel actions
2010:03:03,17:36:16,326,"firefox.exe","Whatever happened to bin Lade...NN.com Blogs - Mozilla Firefox",Mouse wheel,772,205,50.01,69.19,0.72, 
2010:03:03,17:36:43,966,"firefox.exe","Whatever happened to bin Lade...NN.com Blogs - Mozilla Firefox",Mouse wheel stopped,191,81,0.00,0.00,1.00,2 Wheel actions
2010:03:03,17:36:43,966,"firefox.exe","Whatever happened to bin Lade...NN.com Blogs - Mozilla Firefox",Left mouse button pressed,191,81,594.09,680.19,0.87, 
2010:03:03,17:36:44,154,"firefox.exe","Whatever happened to bin Lade...NN.com Blogs - Mozilla Firefox",Left mouse button released,191,81,0.00,0.00,0.00, 
2010:03:03,17:36:46,279,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,604,371,504.65,536.30,0.94, 
2010:03:03,17:36:52,998,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,400,280,0.00,0.00,1.00,3 Wheel actions
2010:03:03,17:36:52,998,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,400,280,223.38,228.47,0.98, 
2010:03:03,17:36:53,154,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,400,280,0.00,0.00,0.00, 
2010:03:03,17:37:22,779,"firefox.exe","Giant waves hit cruise ship; ...ed - CNN.com - Mozilla Firefox",Mouse wheel,837,477,479.35,825.79,0.58, 
2010:03:03,17:38:00,482,"explorer.exe","5:37 PM",Mouse wheel stopped,742,467,0.00,0.00,1.00,7 Wheel actions
2010:03:03,17:38:06,279,"firefox.exe","Giant waves hit cruise ship; ...ed - CNN.com - Mozilla Firefox",Mouse wheel,736,472,10.30,13.41,0.77, 
2010:03:03,17:38:18,342,"firefox.exe","Giant waves hit cruise ship; ...ed - CNN.com - Mozilla Firefox",Mouse wheel stopped,203,82,0.00,0.00,1.00,2 Wheel actions
2010:03:03,17:38:18,342,"firefox.exe","Giant waves hit cruise ship; ...ed - CNN.com - Mozilla Firefox",Left mouse button pressed,203,82,660.45,1009.68,0.65, 
2010:03:03,17:38:18,592,"firefox.exe","Giant waves hit cruise ship; ...ed - CNN.com - Mozilla Firefox",Left mouse button released,203,82,0.00,0.00,0.00, 
2010:03:03,17:38:25,748,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,706,414,602.69,677.88,0.89, 
2010:03:03,17:38:33,998,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,639,663,0.00,0.00,1.00,2 Wheel actions
2010:03:03,17:38:33,998,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,639,663,258.57,710.51,0.36, 
2010:03:03,17:38:34,076,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,639,663,0.00,0.00,0.00, 
2010:03:03,17:38:47,889,"firefox.exe","Virus outbreaks on ships mirr...re - CNN.com - Mozilla Firefox",Mouse wheel,528,509,189.83,202.11,0.94, 
2010:03:03,17:38:57,014,"firefox.exe","Virus outbreaks on ships mirr...re - CNN.com - Mozilla Firefox",Mouse wheel stopped,185,80,0.00,0.00,1.00,9 Wheel actions
2010:03:03,17:38:57,014,"firefox.exe","Virus outbreaks on ships mirr...re - CNN.com - Mozilla Firefox",Left mouse button pressed,185,80,547.23,638.02,0.86, 
2010:03:03,17:38:57,155,"firefox.exe","Virus outbreaks on ships mirr...re - CNN.com - Mozilla Firefox",Left mouse button released,185,80,0.00,0.00,0.00, 
2010:03:03,17:39:02,623,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,566,668,700.65,1332.42,0.53, 
2010:03:03,17:39:02,717,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,566,668,0.00,0.00,0.00, 
2010:03:03,17:39:11,905,"firefox.exe","Hummer, symbol of machismo, m...rd - CNN.com - Mozilla Firefox",Mouse wheel,820,449,335.38,398.96,0.84, 
