Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info
2010:02:19,16:10:19,121,"uLog.exe"," ",Logging started,-1,-1,-1.00,-1.00,-1.00, 
2010:02:19,16:10:21,794,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,738,555,933.24,2279.92,0.41, 
2010:02:19,16:10:26,874,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,558,619,0.00,0.00,1.00,3 Wheel actions
2010:02:19,16:10:26,874,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,558,619,1.00,1.00,1.00, 
2010:02:19,16:10:27,046,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,558,619,0.00,0.00,0.00, 
2010:02:19,16:10:27,264,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,558,619,0.00,0.00,0.00, 
2010:02:19,16:10:34,658,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,684,533,0.00,0.00,1.00,2 Wheel actions
2010:02:19,16:10:34,658,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,684,533,152.55,367.79,0.41, 
2010:02:19,16:10:34,736,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,684,533,0.00,0.00,0.00, 
2010:02:19,16:10:35,095,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,682,528,5.39,7.00,0.77, 
2010:02:19,16:10:35,173,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,682,528,0.00,0.00,0.00, 
2010:02:19,16:10:38,847,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Mouse wheel,670,528,12.00,12.00,1.00, 
2010:02:19,16:10:41,660,"agent.exe","<Unknown window>",Mouse wheel stopped,665,530,0.00,0.00,1.00,5 Wheel actions
2010:02:19,16:10:51,398,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Mouse wheel,652,530,14.04,15.00,0.94, 
2010:02:19,16:11:00,573,"Explorer.EXE","4:10 PM",Mouse wheel stopped,649,534,0.00,0.00,1.00,4 Wheel actions
2010:02:19,16:11:38,837,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Mouse wheel,503,622,172.70,213.37,0.81, 
2010:02:19,16:12:00,595,"Explorer.EXE","4:11 PM",Mouse wheel stopped,532,645,0.00,0.00,1.00,6 Wheel actions
2010:02:19,16:12:16,367,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Mouse wheel,529,648,12.65,22.00,0.57, 
2010:02:19,16:13:00,611,"Explorer.EXE","4:12 PM",Mouse wheel stopped,512,542,0.00,0.00,1.00,5 Wheel actions
2010:02:19,16:13:24,771,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Mouse wheel,670,551,172.74,427.63,0.40, 
2010:02:19,16:13:54,634,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Mouse wheel stopped,548,555,0.00,0.00,1.00,10 Wheel actions
2010:02:19,16:13:54,634,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Right mouse button pressed,548,555,116.00,118.00,0.98, 
2010:02:19,16:13:56,103,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Right mouse button released,547,555,1.00,1.00,1.00, 
2010:02:19,16:13:56,728,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,520,537,32.45,40.72,0.80, 
2010:02:19,16:13:56,853,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,519,537,1.00,1.00,1.00, 
2010:02:19,16:13:57,369,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,508,530,13.04,18.00,0.72, 
2010:02:19,16:13:59,275,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,347,535,161.08,162.11,0.99, 
2010:02:19,16:13:59,431,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,347,535,0.00,0.00,0.00, 
2010:02:19,16:13:59,556,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,347,535,0.00,0.00,0.00, 
2010:02:19,16:14:51,516,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Mouse wheel,443,578,105.19,371.87,0.28, 
2010:02:19,16:15:00,627,"Explorer.EXE","4:14 PM",Mouse wheel stopped,380,576,0.00,0.00,1.00,5 Wheel actions
2010:02:19,16:15:05,737,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Right mouse button pressed,363,573,56.32,72.00,0.78, 
2010:02:19,16:15:05,877,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Mouse wheel,362,573,1.00,1.00,1.00, 
2010:02:19,16:15:06,627,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Mouse wheel stopped,360,575,0.00,0.00,1.00,3 Wheel actions
2010:02:19,16:15:06,627,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Right mouse button released,360,575,0.00,0.00,0.00, 
2010:02:19,16:15:07,362,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,265,548,98.76,140.98,0.70, 
2010:02:19,16:15:07,503,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,267,548,2.00,2.00,1.00, 
2010:02:19,16:15:07,862,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,363,626,123.69,137.69,0.90, 
2010:02:19,16:15:08,393,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,505,663,146.74,153.78,0.95, 
2010:02:19,16:15:08,675,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,518,656,14.76,17.48,0.84, 
2010:02:19,16:15:08,768,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,518,656,0.00,0.00,0.00, 
2010:02:19,16:15:09,487,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,509,678,23.77,38.41,0.62, 
2010:02:19,16:15:10,112,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,283,654,227.27,274.18,0.83, 
2010:02:19,16:15:10,519,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,335,673,55.36,58.28,0.95, 
2010:02:19,16:15:10,644,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,343,674,8.06,9.00,0.90, 
2010:02:19,16:15:11,425,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,332,682,13.60,22.41,0.61, 
2010:02:19,16:15:11,534,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,332,682,0.00,0.00,0.00, 
2010:02:19,16:15:13,550,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,337,680,5.39,21.00,0.26, 
2010:02:19,16:15:15,691,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,697,698,360.45,462.54,0.78, 
2010:02:19,16:15:17,285,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,519,627,191.64,214.70,0.89, 
2010:02:19,16:15:17,426,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,519,628,1.00,1.00,1.00, 
2010:02:19,16:15:17,816,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Mouse wheel,517,628,2.00,4.00,0.50, 
2010:02:19,16:15:31,162,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Mouse wheel stopped,254,776,0.00,0.00,1.00,35 Wheel actions
2010:02:19,16:15:31,162,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,254,776,337.77,2110.61,0.16, 
2010:02:19,16:15:31,256,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,254,776,0.00,0.00,0.00, 
2010:02:19,16:15:59,040,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,366,794,113.44,479.76,0.24, 
2010:02:19,16:15:59,134,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,366,794,0.00,0.00,0.00, 
2010:02:19,16:16:23,700,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,423,786,57.56,128.48,0.45, 
2010:02:19,16:16:23,887,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,423,786,0.00,0.00,0.00, 
2010:02:19,16:16:58,251,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,574,687,180.56,315.60,0.57, 
2010:02:19,16:16:59,767,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,617,702,45.54,52.77,0.86, 
2010:02:19,16:17:04,830,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,458,782,177.99,229.71,0.77, 
2010:02:19,16:17:04,955,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,458,782,0.00,0.00,0.00, 
2010:02:19,16:17:09,721,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,503,784,45.04,46.41,0.97, 
2010:02:19,16:17:09,878,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,503,784,0.00,0.00,0.00, 
2010:02:19,16:18:45,916,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,631,786,128.02,297.35,0.43, 
2010:02:19,16:18:46,009,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,631,786,0.00,0.00,0.00, 
2010:02:19,16:18:47,541,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,664,787,33.02,133.00,0.25, 
2010:02:19,16:18:47,666,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,661,787,3.00,3.00,1.00, 
2010:02:19,16:18:48,744,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,714,784,53.08,81.71,0.65, 
2010:02:19,16:18:48,853,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,714,784,0.00,0.00,0.00, 
2010:02:19,16:18:57,104,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button pressed,174,229,774.35,2199.04,0.35, 
2010:02:19,16:18:57,182,"firefox.exe","Does Tiger Woods' apology hol...t? - CNN.com - Mozilla Firefox",Left mouse button released,174,229,0.00,0.00,0.00, 
2010:02:19,16:19:00,651,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,668,741,711.46,958.02,0.74, 
2010:02:19,16:19:05,870,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,583,611,0.00,0.00,1.00,3 Wheel actions
2010:02:19,16:19:05,870,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,583,611,158.69,1095.31,0.14, 
2010:02:19,16:19:05,979,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,583,611,0.00,0.00,0.00, 
2010:02:19,16:19:08,386,"firefox.exe","Can Love Survive Scandal? - T...: People.com - Mozilla Firefox",Mouse wheel,644,731,134.61,259.42,0.52, 
2010:02:19,16:19:12,276,"firefox.exe","Can Love Survive Scandal? - T...: People.com - Mozilla Firefox",Mouse wheel stopped,561,135,0.00,0.00,1.00,7 Wheel actions
2010:02:19,16:19:12,276,"firefox.exe","Can Love Survive Scandal? - T...: People.com - Mozilla Firefox",Left mouse button pressed,561,135,595.25,1566.46,0.38, 
2010:02:19,16:19:12,401,"firefox.exe","Can Love Survive Scandal? - T...: People.com - Mozilla Firefox",Left mouse button released,561,135,0.00,0.00,0.00, 
2010:02:19,16:19:18,261,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,499,851,718.68,1750.17,0.41, 
2010:02:19,16:19:18,371,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,499,851,0.00,0.00,0.00, 
2010:02:19,16:19:23,293,"firefox.exe","Freshman Year - two Congressm... for CNN.com - Mozilla Firefox",Mouse wheel,568,871,71.84,410.07,0.18, 
2010:02:19,16:19:26,183,"firefox.exe","Freshman Year - two Congressm... for CNN.com - Mozilla Firefox",Mouse wheel stopped,198,618,0.00,0.00,1.00,1 Wheel actions
2010:02:19,16:19:26,183,"firefox.exe","Freshman Year - two Congressm... for CNN.com - Mozilla Firefox",Right mouse button pressed,198,618,448.23,535.19,0.84, 
2010:02:19,16:19:26,308,"firefox.exe","<Unknown window>",Right mouse button released,198,618,0.00,0.00,0.00, 
