Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info
2010:02:26,16:14:54,509,"uLog.exe"," ",Logging started,-1,-1,-1.00,-1.00,-1.00, 
2010:02:26,16:15:06,244,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,313,681,749.49,2005.84,0.37, 
2010:02:26,16:15:06,384,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,313,681,0.00,0.00,0.00, 
2010:02:26,16:15:53,806,"firefox.exe","Weather disrupts travel in No...st - CNN.com - Mozilla Firefox",Mouse wheel,309,657,24.33,56.45,0.43, 
2010:02:26,16:16:00,541,"explorer.exe","4:15 PM",Mouse wheel stopped,306,655,0.00,0.00,1.00,9 Wheel actions
2010:02:26,16:16:08,744,"firefox.exe","Weather disrupts travel in No...st - CNN.com - Mozilla Firefox",Mouse wheel,323,572,84.72,95.61,0.89, 
2010:02:26,16:16:44,837,"firefox.exe","Weather disrupts travel in No...st - CNN.com - Mozilla Firefox",Mouse wheel stopped,174,256,0.00,0.00,1.00,35 Wheel actions
2010:02:26,16:16:44,837,"firefox.exe","Weather disrupts travel in No...st - CNN.com - Mozilla Firefox",Left mouse button pressed,174,256,392.47,472.89,0.83, 
2010:02:26,16:16:44,916,"firefox.exe","Weather disrupts travel in No...st - CNN.com - Mozilla Firefox",Left mouse button released,174,256,0.00,0.00,0.00, 
2010:02:26,16:16:59,369,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,320,480,267.38,409.96,0.65, 
2010:02:26,16:16:59,556,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,320,480,0.00,0.00,0.00, 
2010:02:26,16:17:01,791,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,290,679,201.25,359.85,0.56, 
2010:02:26,16:17:01,900,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,290,679,0.00,0.00,0.00, 
2010:02:26,16:17:17,806,"firefox.exe","7.0 quake strikes off Okinawa - CNN.com - Mozilla Firefox",Left mouse button pressed,432,265,437.68,619.56,0.71, 
2010:02:26,16:17:17,900,"firefox.exe","7.0 quake strikes off Okinawa - CNN.com - Mozilla Firefox",Left mouse button released,432,265,0.00,0.00,0.00, 
2010:02:26,16:17:32,197,"firefox.exe","World News - International He...from CNN.com - Mozilla Firefox",Left mouse button pressed,308,642,396.87,1278.69,0.31, 
2010:02:26,16:17:32,322,"firefox.exe","World News - International He...from CNN.com - Mozilla Firefox",Left mouse button released,308,642,0.00,0.00,0.00, 
2010:02:26,16:17:45,666,"firefox.exe","26 dead in Timbuktu mosque stampede - CNN.com - Mozilla Firefox Mouse wheel",Mouse wheel,411,720,129.20,137.70,0.94, 
2010:02:26,16:18:00,541,"explorer.exe","4:17 PM",Mouse wheel stopped,410,704,0.00,0.00,1.00,9 Wheel actions
2010:02:26,16:18:31,900,"firefox.exe","26 dead in Timbuktu mosque stampede - CNN.com - Mozilla Firefox Mouse wheel",Mouse wheel,432,654,68.31,101.14,0.68, 
2010:02:26,16:18:41,775,"firefox.exe","26 dead in Timbuktu mosque stampede - CNN.com - Mozilla Firefox Mouse wheel stopped",Mouse wheel stopped,603,267,0.00,0.00,1.00,21 Wheel actions
2010:02:26,16:18:41,775,"firefox.exe","26 dead in Timbuktu mosque stampede - CNN.com - Mozilla Firefox Left mouse button pressed",Left mouse button pressed,603,267,406.52,584.71,0.70, 
2010:02:26,16:18:41,869,"firefox.exe","26 dead in Timbuktu mosque stampede - CNN.com - Mozilla Firefox Left mouse button released",Left mouse button released,603,267,0.00,0.00,0.00, 
2010:02:26,16:18:59,087,"firefox.exe","Entertainment News - Movie, T...ip - CNN.com - Mozilla Firefox",Left mouse button pressed,435,841,598.08,784.75,0.76, 
2010:02:26,16:18:59,228,"firefox.exe","Entertainment News - Movie, T...ip - CNN.com - Mozilla Firefox",Left mouse button released,435,841,0.00,0.00,0.00, 
2010:02:26,16:19:17,900,"firefox.exe","PETA wants to stop little tig...ood | EW.com - Mozilla Firefox",Left mouse button pressed,483,120,722.60,1462.92,0.49, 
2010:02:26,16:19:18,087,"firefox.exe","PETA wants to stop little tig...ood | EW.com - Mozilla Firefox",Left mouse button released,483,120,0.00,0.00,0.00, 
2010:02:26,16:19:27,212,"firefox.exe","Entertainment News - Movie, T...ip - CNN.com - Mozilla Firefox",Left mouse button pressed,466,875,755.19,913.77,0.83, 
2010:02:26,16:19:27,291,"firefox.exe","Entertainment News - Movie, T...ip - CNN.com - Mozilla Firefox",Left mouse button released,466,875,0.00,0.00,0.00, 
2010:02:26,16:19:32,103,"firefox.exe","Review: 'A Prophet' deserves ...rs - CNN.com - Mozilla Firefox",Mouse wheel,342,828,132.61,140.33,0.95, 
2010:02:26,16:19:35,556,"firefox.exe","Review: 'A Prophet' deserves ...rs - CNN.com - Mozilla Firefox",Mouse wheel stopped,391,270,0.00,0.00,1.00,28 Wheel actions
2010:02:26,16:19:35,556,"firefox.exe","Review: 'A Prophet' deserves ...rs - CNN.com - Mozilla Firefox",Left mouse button pressed,391,270,558.33,672.21,0.83, 
2010:02:26,16:19:35,666,"firefox.exe","Review: 'A Prophet' deserves ...rs - CNN.com - Mozilla Firefox",Left mouse button released,391,269,1.00,1.00,1.00, 
2010:02:26,16:19:48,978,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Left mouse button pressed,516,793,538.70,701.31,0.77, 
2010:02:26,16:19:49,087,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Left mouse button released,516,792,1.00,1.00,1.00, 
2010:02:26,16:19:52,416,"firefox.exe","Gunman With Infatuation Fatal...KIRO Seattle - Mozilla Firefox",Mouse wheel,274,505,375.41,426.57,0.88, 
2010:02:26,16:20:00,541,"explorer.exe","4:19 PM",Mouse wheel stopped,274,505,0.00,0.00,1.00,2 Wheel actions
2010:02:26,16:20:04,619,"firefox.exe","Gunman With Infatuation Fatal...KIRO Seattle - Mozilla Firefox",Mouse wheel,324,619,124.48,188.90,0.66, 
2010:02:26,16:20:07,431,"firefox.exe","Gunman With Infatuation Fatal...KIRO Seattle - Mozilla Firefox",Mouse wheel stopped,483,119,0.00,0.00,1.00,10 Wheel actions
2010:02:26,16:20:07,431,"firefox.exe","Gunman With Infatuation Fatal...KIRO Seattle - Mozilla Firefox",Left mouse button pressed,483,119,525.63,689.55,0.76, 
2010:02:26,16:20:07,525,"firefox.exe","Gunman With Infatuation Fatal...KIRO Seattle - Mozilla Firefox",Left mouse button released,483,119,0.00,0.00,0.00, 
2010:02:26,16:20:11,087,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Left mouse button pressed,250,639,569.81,629.95,0.90, 
2010:02:26,16:20:11,197,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Left mouse button released,250,639,0.00,0.00,0.00, 
2010:02:26,16:20:13,541,"firefox.exe","Troubled NY governor won't ru...rm - CNN.com - Mozilla Firefox",Mouse wheel,129,647,121.26,125.70,0.96, 
