Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info
2010:03:23,18:58:35,406,"uLog.exe"," ",Logging started,-1,-1,-1.00,-1.00,-1.00, 
2010:03:23,18:58:42,515,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,1986,511,2050.69,4579.45,0.45, 
2010:03:23,18:58:43,078,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,1986,511,0.00,0.00,0.00, 
2010:03:23,18:58:47,609,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Mouse wheel,1927,760,255.89,306.93,0.83, 
2010:03:23,18:58:53,906,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Mouse wheel stopped,1673,739,0.00,0.00,1.00,2 Wheel actions
2010:03:23,18:58:53,906,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button pressed,1673,739,254.87,423.18,0.60, 
2010:03:23,18:58:55,750,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button released,1788,745,115.16,116.09,0.99, 
2010:03:23,18:58:56,640,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button pressed,1830,763,45.69,46.76,0.98, 
2010:03:23,18:58:56,797,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button released,1830,763,0.00,0.00,0.00, 
2010:03:23,18:58:57,359,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Mouse wheel,1830,763,0.00,0.00,0.00, 
2010:03:23,18:59:00,094,"Explorer.EXE","6:58 PM",Mouse wheel stopped,1844,770,0.00,0.00,1.00,1 Wheel actions
2010:03:23,18:59:04,094,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button pressed,1822,741,23.41,133.97,0.17, 
2010:03:23,18:59:04,672,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button released,1822,767,26.00,26.00,1.00, 
2010:03:23,18:59:05,109,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button pressed,1845,805,44.42,47.94,0.93, 
2010:03:23,18:59:05,266,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button released,1845,805,0.00,0.00,0.00, 
2010:03:23,18:59:05,922,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Mouse wheel,1837,798,10.63,14.41,0.74, 
2010:03:23,18:59:31,422,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Mouse wheel stopped,1758,786,0.00,0.00,1.00,3 Wheel actions
2010:03:23,18:59:31,422,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button pressed,1758,786,12.81,84.01,0.15, 
2010:03:23,18:59:32,344,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button released,1749,813,28.46,32.89,0.87, 
2010:03:23,18:59:33,688,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button pressed,1780,840,41.11,57.32,0.72, 
2010:03:23,18:59:33,859,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button released,1780,840,0.00,0.00,0.00, 
2010:03:23,18:59:34,328,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Mouse wheel,1779,837,3.16,4.00,0.79, 
2010:03:23,18:59:44,156,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Mouse wheel stopped,1745,842,0.00,0.00,1.00,1 Wheel actions
2010:03:23,18:59:44,156,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button pressed,1745,842,34.37,72.33,0.48, 
2010:03:23,18:59:47,656,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button released,1918,914,187.38,227.42,0.82, 
2010:03:23,18:59:50,281,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Mouse wheel,1918,912,2.00,2.00,1.00, 
2010:03:23,18:59:58,625,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Mouse wheel stopped,1962,841,0.00,0.00,1.00,2 Wheel actions
2010:03:23,18:59:58,625,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button pressed,1962,841,83.53,296.29,0.28, 
2010:03:23,19:00:03,032,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button released,1952,872,32.57,41.00,0.79, 
2010:03:23,19:00:03,391,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button pressed,1952,872,0.00,0.00,0.00, 
2010:03:23,19:00:03,563,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button released,1952,872,0.00,0.00,0.00, 
2010:03:23,19:00:04,750,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Mouse wheel,1952,872,0.00,0.00,0.00, 
2010:03:23,19:00:33,641,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Mouse wheel stopped,1804,782,0.00,0.00,1.00,10 Wheel actions
2010:03:23,19:00:33,641,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button pressed,1804,782,22.09,30.00,0.74, 
2010:03:23,19:00:36,704,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button released,1796,793,13.60,18.24,0.75, 
2010:03:23,19:00:37,063,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button pressed,1796,793,0.00,0.00,0.00, 
2010:03:23,19:00:37,266,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button released,1796,793,0.00,0.00,0.00, 
2010:03:23,19:00:39,438,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Mouse wheel,1796,793,0.00,0.00,0.00, 
2010:03:23,19:01:00,094,"Explorer.EXE","7:00 PM",Mouse wheel stopped,1731,784,0.00,0.00,1.00,3 Wheel actions
2010:03:23,19:01:00,735,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Mouse wheel,1731,784,0.00,0.00,0.00, 
2010:03:23,19:01:06,829,"agent.exe","<Unknown window>",Mouse wheel stopped,1742,759,0.00,0.00,1.00,2 Wheel actions
2010:03:23,19:01:07,110,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button pressed,1742,759,27.31,36.40,0.75, 
2010:03:23,19:01:08,173,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button released,1738,762,5.00,5.24,0.95, 
2010:03:23,19:01:29,298,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Mouse wheel,1773,766,35.23,58.49,0.60, 
2010:03:23,19:01:58,876,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Mouse wheel stopped,2551,459,0.00,0.00,1.00,8 Wheel actions
2010:03:23,19:01:58,876,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button pressed,2551,459,861.12,1115.24,0.77, 
2010:03:23,19:02:01,985,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button released,2547,485,26.31,28.83,0.91, 
2010:03:23,19:02:02,439,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button pressed,2547,485,0.00,0.00,0.00, 
2010:03:23,19:02:02,642,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button released,2547,485,0.00,0.00,0.00, 
2010:03:23,19:02:03,048,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button pressed,2547,485,0.00,0.00,0.00, 
2010:03:23,19:02:03,782,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button released,2559,150,335.21,339.79,0.99, 
2010:03:23,19:02:05,626,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button pressed,1305,62,1257.08,1661.95,0.76, 
2010:03:23,19:02:05,845,"firefox.exe","Kids who lose parents still g...ts - CNN.com - Mozilla Firefox",Left mouse button released,1305,62,0.00,0.00,0.00, 
2010:03:23,19:02:23,548,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,1743,860,910.30,2322.13,0.39, 
2010:03:23,19:02:31,251,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,1896,618,0.00,0.00,1.00,2 Wheel actions
2010:03:23,19:02:31,251,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,1896,618,286.31,360.31,0.79, 
2010:03:23,19:02:31,454,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,1896,618,0.00,0.00,0.00, 
2010:03:23,19:02:53,720,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Left mouse button pressed,1984,615,88.05,915.50,0.10, 
2010:03:23,19:02:54,439,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Left mouse button released,1984,630,15.00,15.00,1.00, 
2010:03:23,19:03:01,392,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Left mouse button pressed,1824,686,169.52,270.82,0.63, 
2010:03:23,19:03:05,533,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Left mouse button released,1832,776,90.35,97.41,0.93, 
2010:03:23,19:03:13,548,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Mouse wheel,1758,792,75.71,646.10,0.12, 
2010:03:23,19:03:22,330,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Mouse wheel stopped,1769,729,0.00,0.00,1.00,2 Wheel actions
2010:03:23,19:03:22,330,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Left mouse button pressed,1769,729,63.95,309.83,0.21, 
2010:03:23,19:03:23,548,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Left mouse button released,1769,763,34.00,34.00,1.00, 
2010:03:23,19:03:24,392,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Mouse wheel,1769,763,0.00,0.00,0.00, 
2010:03:23,19:03:30,892,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Mouse wheel stopped,1520,428,0.00,0.00,1.00,2 Wheel actions
2010:03:23,19:03:30,892,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Left mouse button pressed,1520,428,417.40,501.32,0.83, 
2010:03:23,19:03:31,173,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Left mouse button released,1520,428,0.00,0.00,0.00, 
2010:03:23,19:03:37,892,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Left mouse button pressed,1486,434,34.53,143.88,0.24, 
2010:03:23,19:03:38,455,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Left mouse button released,1486,434,0.00,0.00,0.00, 
2010:03:23,19:03:41,752,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Left mouse button pressed,1559,390,85.23,98.56,0.86, 
2010:03:23,19:03:42,845,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Left mouse button released,1553,424,34.53,38.24,0.90, 
2010:03:23,19:03:43,970,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Left mouse button pressed,1559,496,72.25,89.15,0.81, 
2010:03:23,19:03:44,127,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Left mouse button released,1559,496,0.00,0.00,0.00, 
2010:03:23,19:03:44,658,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Left mouse button pressed,1523,436,69.97,81.92,0.85, 
2010:03:23,19:03:44,814,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Left mouse button released,1523,436,0.00,0.00,0.00, 
2010:03:23,19:03:45,814,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Mouse wheel,1699,759,367.84,375.54,0.98, 
2010:03:23,19:03:48,752,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Mouse wheel stopped,1569,705,0.00,0.00,1.00,9 Wheel actions
2010:03:23,19:03:48,752,"firefox.exe","Will Obama be another 'Comeba...?' - CNN.com - Mozilla Firefox",Left mouse button pressed,1569,705,139.09,144.86,0.96, 
