Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info
2010:02:18,13:57:35,849,"uLog.exe"," ",Logging started,-1,-1,-1.00,-1.00,-1.00, 
2010:02:18,13:57:40,771,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,308,632,703.06,1875.71,0.37, 
2010:02:18,13:57:42,146,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,299,656,0.00,0.00,1.00,2 Wheel actions
2010:02:18,13:57:42,146,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,299,656,14.87,18.48,0.80, 
2010:02:18,13:57:42,271,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,299,656,0.00,0.00,0.00, 
2010:02:18,13:57:42,724,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,299,656,0.00,0.00,0.00, 
2010:02:18,13:57:55,317,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,169,328,0.00,0.00,1.00,4 Wheel actions
2010:02:18,13:57:55,317,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,169,328,342.00,394.50,0.87, 
2010:02:18,13:57:55,427,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,169,328,0.00,0.00,0.00, 
2010:02:18,13:57:57,661,"firefox.exe","Latest updates: Plane crashes...as - CNN.com - Mozilla Firefox",Mouse wheel,607,601,516.11,560.29,0.92, 
2010:02:18,13:58:00,411,"Explorer.EXE","1:57 PM",Mouse wheel stopped,600,642,0.00,0.00,1.00,4 Wheel actions
2010:02:18,13:58:07,708,"firefox.exe","Latest updates: Plane crashes...as - CNN.com - Mozilla Firefox",Mouse wheel,559,675,66.22,97.24,0.68, 
2010:02:18,13:58:47,224,"firefox.exe","Latest updates: Plane crashes...as - CNN.com - Mozilla Firefox",Mouse wheel stopped,199,43,0.00,0.00,1.00,5 Wheel actions
2010:02:18,13:58:47,224,"firefox.exe","Latest updates: Plane crashes...as - CNN.com - Mozilla Firefox",Left mouse button pressed,199,43,694.21,963.65,0.72, 
2010:02:18,13:58:48,146,"Explorer.EXE","Program Manager",Left mouse button released,305,20,108.47,119.11,0.91, 
2010:02:18,13:58:49,161,"firefox.exe","Latest updates: Plane crashes...as - CNN.com - Mozilla Firefox",Left mouse button pressed,57,68,252.60,262.72,0.96, 
2010:02:18,13:58:49,271,"firefox.exe","Latest updates: Plane crashes...as - CNN.com - Mozilla Firefox",Left mouse button released,57,68,0.00,0.00,0.00, 
2010:02:18,13:58:56,692,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,392,652,673.26,765.21,0.88, 
2010:02:18,13:59:00,411,"Explorer.EXE","1:58 PM",Mouse wheel stopped,205,679,0.00,0.00,1.00,4 Wheel actions
2010:02:18,13:59:02,817,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,204,678,13.45,23.17,0.58, 
2010:02:18,13:59:13,739,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,267,807,0.00,0.00,1.00,1 Wheel actions
2010:02:18,13:59:13,739,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,267,807,143.56,149.55,0.96, 
2010:02:18,13:59:13,864,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,267,807,0.00,0.00,0.00, 
2010:02:18,13:59:17,364,"firefox.exe","CNN.com - Page not found - Mozilla Firefox",Left mouse button pressed,665,399,569.97,1054.71,0.54, 
2010:02:18,13:59:18,021,"firefox.exe","CNN.com - Page not found - Mozilla Firefox",Left mouse button released,665,399,0.00,0.00,0.00, 
2010:02:18,13:59:19,958,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,382,631,365.94,392.98,0.93, 
2010:02:18,13:59:29,099,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,507,789,0.00,0.00,1.00,9 Wheel actions
2010:02:18,13:59:29,099,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,507,789,202.09,240.69,0.84, 
2010:02:18,13:59:29,255,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,507,789,0.00,0.00,0.00, 
2010:02:18,13:59:31,786,"firefox.exe","Missionaries freed by Haitian...da - CNN.com - Mozilla Firefox",Mouse wheel,748,780,241.17,260.83,0.92, 
2010:02:18,14:00:00,411,"Explorer.EXE","1:59 PM",Mouse wheel stopped,581,795,0.00,0.00,1.00,6 Wheel actions
2010:02:18,14:00:27,489,"firefox.exe","Missionaries freed by Haitian...da - CNN.com - Mozilla Firefox",Mouse wheel,559,760,41.34,61.52,0.67, 
2010:02:18,14:01:00,411,"Explorer.EXE","2:00 PM",Mouse wheel stopped,560,790,0.00,0.00,1.00,7 Wheel actions
2010:02:18,14:01:04,161,"firefox.exe","Missionaries freed by Haitian...da - CNN.com - Mozilla Firefox",Mouse wheel,560,790,4.00,4.00,1.00, 
2010:02:18,14:01:41,083,"firefox.exe","Missionaries freed by Haitian...da - CNN.com - Mozilla Firefox",Mouse wheel stopped,388,274,0.00,0.00,1.00,25 Wheel actions
2010:02:18,14:01:41,083,"firefox.exe","Missionaries freed by Haitian...da - CNN.com - Mozilla Firefox",Left mouse button pressed,388,274,280.03,465.63,0.60, 
2010:02:18,14:01:41,192,"firefox.exe","Missionaries freed by Haitian...da - CNN.com - Mozilla Firefox",Left mouse button released,388,274,0.00,0.00,0.00, 
2010:02:18,14:01:56,333,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Mouse wheel,394,635,361.05,386.31,0.93, 
2010:02:18,14:02:00,411,"Explorer.EXE","2:01 PM",Mouse wheel stopped,394,635,0.00,0.00,1.00,1 Wheel actions
2010:02:18,14:02:07,833,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Mouse wheel,386,766,131.24,395.98,0.33, 
2010:02:18,14:02:35,083,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Mouse wheel stopped,701,873,0.00,0.00,1.00,18 Wheel actions
2010:02:18,14:02:35,083,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Left mouse button pressed,701,873,343.11,356.43,0.96, 
2010:02:18,14:02:35,239,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Left mouse button released,701,873,0.00,0.00,0.00, 
2010:02:18,14:02:46,505,"firefox.exe","World War II Hero Finally Get...d Rapids, MI - Mozilla Firefox",Mouse wheel,131,628,620.42,679.76,0.91, 
2010:02:18,14:03:00,256,"agent.exe","<Unknown window>",Mouse wheel stopped,131,628,0.00,0.00,1.00,1 Wheel actions
2010:02:18,14:03:09,851,"firefox.exe","World War II Hero Finally Get...d Rapids, MI - Mozilla Firefox",Mouse wheel,131,628,0.00,0.00,0.00, 
2010:02:18,14:04:00,421,"Explorer.EXE","2:03 PM",Mouse wheel stopped,131,628,0.00,0.00,1.00,3 Wheel actions
2010:02:18,14:04:03,218,"firefox.exe","World War II Hero Finally Get...d Rapids, MI - Mozilla Firefox",Mouse wheel,131,628,0.00,0.00,0.00, 
2010:02:18,14:04:18,814,"firefox.exe","World War II Hero Finally Get...d Rapids, MI - Mozilla Firefox",Mouse wheel stopped,509,131,0.00,0.00,1.00,18 Wheel actions
2010:02:18,14:04:18,814,"firefox.exe","World War II Hero Finally Get...d Rapids, MI - Mozilla Firefox",Left mouse button pressed,509,131,51.79,612.88,0.08, 
2010:02:18,14:04:18,892,"firefox.exe","World War II Hero Finally Get...d Rapids, MI - Mozilla Firefox",Left mouse button released,509,131,0.00,0.00,0.00, 
2010:02:18,14:04:20,564,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Mouse wheel,107,402,484.81,522.74,0.93, 
2010:02:18,14:04:25,862,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Mouse wheel stopped,426,416,0.00,0.00,1.00,2 Wheel actions
2010:02:18,14:04:25,862,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Left mouse button pressed,426,416,319.35,320.96,0.99, 
2010:02:18,14:04:26,080,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Left mouse button released,426,416,0.00,0.00,0.00, 
2010:02:18,14:04:31,784,"firefox.exe","Lindsey Vonn, White lead U.S....uve - SI.com - Mozilla Firefox",Mouse wheel,140,419,286.02,291.06,0.98, 
2010:02:18,14:05:00,429,"Explorer.EXE","2:04 PM",Mouse wheel stopped,133,422,0.00,0.00,1.00,2 Wheel actions
