Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info
2010:03:09,18:01:46,334,"uLog.exe"," ",Logging started,-1,-1,-1.00,-1.00,-1.00, 
2010:03:09,18:01:50,334,"Explorer.EXE","<Unknown window>",Left mouse button pressed,1120,933,1457.70,3474.61,0.42, 
2010:03:09,18:01:50,397,"Explorer.EXE","<Unknown window>",Left mouse button released,1120,933,0.00,0.00,0.00, 
2010:03:09,18:01:51,568,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,1033,25,912.16,1147.18,0.80, 
2010:03:09,18:01:51,615,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,1033,25,0.00,0.00,0.00, 
2010:03:09,18:01:52,615,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,1222,434,450.56,569.71,0.79, 
2010:03:09,18:01:52,693,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,1222,434,0.00,0.00,0.00, 
2010:03:09,18:01:53,865,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,1231,441,11.40,62.71,0.18, 
2010:03:09,18:02:00,850,"Explorer.EXE","6:01 PM",Mouse wheel stopped,22,594,0.00,0.00,1.00,12 Wheel actions
2010:03:09,18:02:07,303,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,229,544,1004.71,1592.67,0.63, 
2010:03:09,18:02:07,365,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,229,544,0.00,0.00,0.00, 
2010:03:09,18:02:12,709,"firefox.exe","New Yorkers to Share-a-Cab wi... CNN iReport - Mozilla Firefox",Left mouse button pressed,922,639,699.48,907.53,0.77, 
2010:03:09,18:02:12,787,"firefox.exe","New Yorkers to Share-a-Cab wi... CNN iReport - Mozilla Firefox",Left mouse button released,922,639,0.00,0.00,0.00, 
2010:03:09,18:02:13,756,"firefox.exe","New Yorkers to Share-a-Cab wi... CNN iReport - Mozilla Firefox",Mouse wheel,703,804,274.20,307.52,0.89, 
2010:03:09,18:03:00,850,"Explorer.EXE","6:02 PM",Mouse wheel stopped,254,743,0.00,0.00,1.00,8 Wheel actions
2010:03:09,18:04:00,537,"firefox.exe","New Yorkers to Share-a-Cab wi... CNN iReport - Mozilla Firefox",Mouse wheel,258,746,5.00,8.24,0.61, 
2010:03:09,18:04:00,850,"Explorer.EXE","6:03 PM",Mouse wheel stopped,249,737,0.00,0.00,1.00,4 Wheel actions
2010:03:09,18:04:01,365,"firefox.exe","New Yorkers to Share-a-Cab wi... CNN iReport - Mozilla Firefox",Mouse wheel,220,718,47.20,57.21,0.83, 
2010:03:09,18:04:58,022,"agent.exe","<Unknown window>",Mouse wheel stopped,561,668,0.00,0.00,1.00,22 Wheel actions
2010:03:09,18:05:04,131,"firefox.exe","New Yorkers to Share-a-Cab wi... CNN iReport - Mozilla Firefox",Mouse wheel,282,577,353.83,459.29,0.77, 
2010:03:09,18:05:05,412,"firefox.exe","New Yorkers to Share-a-Cab wi... CNN iReport - Mozilla Firefox",Mouse wheel stopped,17,54,0.00,0.00,1.00,2 Wheel actions
2010:03:09,18:05:05,412,"firefox.exe","New Yorkers to Share-a-Cab wi... CNN iReport - Mozilla Firefox",Left mouse button pressed,17,54,576.01,716.33,0.80, 
2010:03:09,18:05:05,506,"firefox.exe","New Yorkers to Share-a-Cab wi... CNN iReport - Mozilla Firefox",Left mouse button released,17,54,0.00,0.00,0.00, 
2010:03:09,18:05:18,178,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,80,514,464.29,1193.64,0.39, 
