Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info
2010:04:05,17:52:10,271,"uLog.exe"," ",Logging started,-1,-1,-1.00,-1.00,-1.00, 
2010:04:05,17:52:19,178,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,290,503,580.61,5657.07,0.10, 
2010:04:05,17:52:27,725,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,606,308,0.00,0.00,1.00,8 Wheel actions
2010:04:05,17:52:27,725,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,606,308,343.35,1058.53,0.32, 
2010:04:05,17:52:27,865,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,606,308,0.00,0.00,0.00, 
2010:04:05,17:52:34,443,"firefox.exe","Science and Technology News -...from CNN.com - Mozilla Firefox",Mouse wheel,98,392,514.90,540.54,0.95, 
2010:04:05,17:52:42,256,"firefox.exe","Science and Technology News -...from CNN.com - Mozilla Firefox",Mouse wheel stopped,442,732,0.00,0.00,1.00,2 Wheel actions
2010:04:05,17:52:42,256,"firefox.exe","Science and Technology News -...from CNN.com - Mozilla Firefox",Left mouse button pressed,442,732,483.67,524.13,0.92, 
2010:04:05,17:52:42,318,"firefox.exe","Science and Technology News -...from CNN.com - Mozilla Firefox",Left mouse button released,442,732,0.00,0.00,0.00, 
2010:04:05,17:53:49,021,"firefox.exe","HP's iPad competitor will hav...NN.com Blogs - Mozilla Firefox",Mouse wheel,619,510,283.92,901.03,0.32, 
2010:04:05,17:54:00,256,"Explorer.EXE","5:53 PM",Mouse wheel stopped,609,481,0.00,0.00,1.00,3 Wheel actions
2010:04:05,17:54:55,209,"firefox.exe","HP's iPad competitor will hav...NN.com Blogs - Mozilla Firefox",Mouse wheel,576,426,94.37,536.98,0.18, 
2010:04:05,17:54:58,475,"firefox.exe","HP's iPad competitor will hav...NN.com Blogs - Mozilla Firefox",Mouse wheel stopped,75,71,0.00,0.00,1.00,4 Wheel actions
2010:04:05,17:54:58,475,"firefox.exe","HP's iPad competitor will hav...NN.com Blogs - Mozilla Firefox",Left mouse button pressed,75,71,614.02,697.47,0.88, 
2010:04:05,17:54:58,568,"firefox.exe","HP's iPad competitor will hav...NN.com Blogs - Mozilla Firefox",Left mouse button released,75,71,0.00,0.00,0.00, 
2010:04:05,17:55:06,834,"firefox.exe","Science and Technology News -...from CNN.com - Mozilla Firefox",Mouse wheel,512,396,544.60,920.73,0.59, 
2010:04:05,17:56:00,256,"Explorer.EXE","5:55 PM",Mouse wheel stopped,511,393,0.00,0.00,1.00,17 Wheel actions
2010:04:05,17:56:01,068,"firefox.exe","Science and Technology News -...from CNN.com - Mozilla Firefox",Mouse wheel,511,393,0.00,0.00,0.00, 
2010:04:05,17:56:32,678,"firefox.exe","Science and Technology News -...from CNN.com - Mozilla Firefox",Mouse wheel stopped,452,406,0.00,0.00,1.00,10 Wheel actions
2010:04:05,17:56:32,678,"firefox.exe","Science and Technology News -...from CNN.com - Mozilla Firefox",Left mouse button pressed,452,406,108.50,693.94,0.16, 
2010:04:05,17:56:32,771,"firefox.exe","Science and Technology News -...from CNN.com - Mozilla Firefox",Left mouse button released,452,406,0.00,0.00,0.00, 
2010:04:05,17:57:33,490,"firefox.exe","How the fake 'iCade' could be...al - CNN.com - Mozilla Firefox",Left mouse button pressed,74,69,506.41,1195.61,0.42, 
2010:04:05,17:57:33,584,"firefox.exe","How the fake 'iCade' could be...al - CNN.com - Mozilla Firefox",Left mouse button released,74,69,0.00,0.00,0.00, 
2010:04:05,17:57:38,240,"firefox.exe","Science and Technology News -...from CNN.com - Mozilla Firefox",Mouse wheel,584,337,576.13,620.61,0.93, 
2010:04:05,17:57:45,459,"firefox.exe","Science and Technology News -...from CNN.com - Mozilla Firefox",Mouse wheel stopped,319,488,0.00,0.00,1.00,1 Wheel actions
2010:04:05,17:57:45,459,"firefox.exe","Science and Technology News -...from CNN.com - Mozilla Firefox",Left mouse button pressed,319,488,305.00,338.55,0.90, 
2010:04:05,17:57:45,568,"firefox.exe","Science and Technology News -...from CNN.com - Mozilla Firefox",Left mouse button released,319,488,0.00,0.00,0.00, 
2010:04:05,17:58:11,334,"firefox.exe","NewsPulse - Get the news filt...ar - CNN.com - Mozilla Firefox",Left mouse button pressed,391,395,117.61,2118.40,0.06, 
2010:04:05,17:58:11,428,"firefox.exe","NewsPulse - Get the news filt...ar - CNN.com - Mozilla Firefox",Left mouse button released,391,395,0.00,0.00,0.00, 
2010:04:05,17:58:59,678,"firefox.exe","NewsPulse - Get the news filt...ar - CNN.com - Mozilla Firefox",Mouse wheel,599,332,217.33,744.96,0.29, 
2010:04:05,17:59:00,256,"Explorer.EXE","5:58 PM",Mouse wheel stopped,599,332,0.00,0.00,1.00,1 Wheel actions
2010:04:05,17:59:17,037,"firefox.exe","NewsPulse - Get the news filt...ar - CNN.com - Mozilla Firefox",Mouse wheel,718,446,164.79,668.33,0.25, 
2010:04:05,17:59:26,631,"firefox.exe","NewsPulse - Get the news filt...ar - CNN.com - Mozilla Firefox",Mouse wheel stopped,536,468,0.00,0.00,1.00,7 Wheel actions
2010:04:05,17:59:26,631,"firefox.exe","NewsPulse - Get the news filt...ar - CNN.com - Mozilla Firefox",Left mouse button pressed,536,468,183.32,224.37,0.82, 
2010:04:05,17:59:26,740,"firefox.exe","NewsPulse - Get the news filt...ar - CNN.com - Mozilla Firefox",Left mouse button released,536,468,0.00,0.00,0.00, 
2010:04:05,18:01:00,412,"firefox.exe","NewsPulse - Get the news filt...ar - CNN.com - Mozilla Firefox",Mouse wheel,748,489,213.04,425.13,0.50, 
2010:04:05,18:01:02,146,"firefox.exe","NewsPulse - Get the news filt...ar - CNN.com - Mozilla Firefox",Mouse wheel stopped,531,773,0.00,0.00,1.00,2 Wheel actions
2010:04:05,18:01:02,146,"firefox.exe","NewsPulse - Get the news filt...ar - CNN.com - Mozilla Firefox",Left mouse button pressed,531,773,357.41,371.87,0.96, 
2010:04:05,18:01:02,256,"firefox.exe","NewsPulse - Get the news filt...ar - CNN.com - Mozilla Firefox",Left mouse button released,531,773,0.00,0.00,0.00, 
2010:04:05,18:01:04,943,"firefox.exe","NewsPulse - Get the news filt...ar - CNN.com - Mozilla Firefox",Left mouse button pressed,690,646,203.49,549.01,0.37, 
2010:04:05,18:01:05,053,"firefox.exe","NewsPulse - Get the news filt...ar - CNN.com - Mozilla Firefox",Left mouse button released,690,646,0.00,0.00,0.00, 
2010:04:05,18:01:06,818,"firefox.exe","NewsPulse - Get the news filt...ar - CNN.com - Mozilla Firefox",Left mouse button pressed,608,647,82.01,384.06,0.21, 
