"","userID","sessionID","actionTaken","timelineMSEC","durationMSEC","X","Y","Rel__dist_","Total_dist_"
"71","ID01","ID01_Session01","Left mouse button pressed",1500084,94,"829","523","34.00","35.26"
"72","ID01","ID01_Session01","Left mouse button pressed",1502725,672,"733","361","189.45","333.59"
"73","ID01","ID01_Session01","Left mouse button pressed",1503537,110,"850","377","40.31","40.90"
"74","ID01","ID01_Session01","Left mouse button pressed",1504678,844,"723","380","127.04","142.78"
"75","ID01","ID01_Session01","Left mouse button pressed",1505678,94,"836","409","51.04","52.32"
"76","ID01","ID01_Session01","Left mouse button pressed",1506209,469,"762","396","75.13","79.44"
"77","ID01","ID01_Session01","Left mouse button pressed",1506819,62,"823","406","12.21","12.95"
"78","ID01","ID01_Session01","Left mouse button pressed",1507537,797,"716","421","108.05","116.01"
"79","ID01","ID01_Session01","Left mouse button pressed",1508506,125,"895","422","8.25","8.65"
"80","ID01","ID01_Session01","Left mouse button pressed",1511272,422,"836","404","61.68","642.63"
"81","ID01","ID01_Session01","Left mouse button pressed",1511881,94,"870","447","15.81","17.48"
"82","ID01","ID01_Session01","Left mouse button pressed",1514991,765,"732","417","192.07","288.26"
"83","ID01","ID01_Session01","Left mouse button pressed",1515912,110,"852","427","11.66","13.30"
"84","ID01","ID01_Session01","Left mouse button pressed",1518256,1266,"738","388","55.76","68.98"
"85","ID01","ID01_Session01","Left mouse button pressed",1519709,94,"903","419","12.37","13.65"
"86","ID01","ID01_Session01","Left mouse button pressed",1520897,906,"741","405","162.60","177.50"
"87","ID01","ID01_Session01","Left mouse button pressed",1522053,125,"906","411","0.00","0.00"
"88","ID01","ID01_Session01","Left mouse button pressed",1544084,125,"824","586","193.26","3544.75"
"89","ID01","ID01_Session01","Left mouse button pressed",1546647,1562,"744","466","144.22","201.76"
"90","ID01","ID01_Session01","Left mouse button pressed",1548412,94,"911","604","29.73","33.63"
"91","ID01","ID01_Session01","Left mouse button pressed",1549381,109,"553","499","373.08","396.57"
"92","ID01","ID01_Session01","Left mouse button pressed",1637177,94,"799","584","156.55","500.43"
"93","ID01","ID01_Session01","Left mouse button pressed",1640677,94,"9","59","764.74","859.96"
"94","ID01","ID01_Session01","Left mouse button pressed",1669052,109,"1462","571","696.00","1290.35"
"95","ID01","ID01_Session01","Left mouse button pressed",1671161,94,"1128","651","343.45","360.44"
"96","ID01","ID01_Session01","Left mouse button pressed",1675599,109,"577","555","559.30","1053.18"
"97","ID01","ID01_Session01","Left mouse button pressed",1676958,375,"767","466","209.81","312.58"
"98","ID01","ID01_Session01","Left mouse button pressed",1677521,62,"867","502","24.41","26.44"
"99","ID01","ID01_Session01","Left mouse button pressed",1700005,109,"595","498","177.16","2456.87"
"100","ID01","ID01_Session01","Left mouse button pressed",1717739,94,"26","57","828.60","1036.65"
"101","ID01","ID01_Session01","Left mouse button pressed",1720395,125,"350","744","759.57","2916.78"
"102","ID01","ID01_Session01","Left mouse button pressed",1758442,94,"1113","597","755.05","2048.12"
"103","ID01","ID01_Session02","Left mouse button pressed",0,93,"1203","700","1391.84","7550.04"
"104","ID01","ID01_Session02","Left mouse button pressed",12374,110,"1201","703","3.61","3474.03"
"105","ID01","ID01_Session02","Left mouse button pressed",27374,125,"673","793","185.00","406.08"
"106","ID01","ID01_Session02","Left mouse button pressed",40984,93,"692","776","32.65","842.91"
"107","ID01","ID01_Session02","Left mouse button pressed",45937,140,"45","734","648.36","985.97"
"108","ID01","ID01_Session02","Left mouse button pressed",69030,469,"404","509","408.81","464.61"
"109","ID01","ID01_Session02","Left mouse button pressed",69780,78,"485","533","16.12","18.28"
"110","ID01","ID01_Session02","Left mouse button pressed",70312,109,"512","525","28.16","54.48"
"111","ID01","ID01_Session02","Left mouse button pressed",83374,109,"313","538","199.42","763.63"
"112","ID01","ID01_Session02","Left mouse button pressed",112905,156,"23","59","559.95","823.49"
"113","ID01","ID01_Session02","Left mouse button pressed",115718,140,"74","610","553.36","1003.60"
