userID,sessionID,actionTakenNumeric,durationMSEC,timelineMSEC,idleTime
ID01,ID01_Session02,0,125,27374,0
ID01,ID01_Session02,1,1250,27984,485
ID01,ID01_Session02,1,7594,33390,4156
ID01,ID01_Session02,0,93,40984,0
ID01,ID01_Session02,0,140,45937,4860
ID01,ID01_Session02,1,21718,47312,1235
ID01,ID01_Session02,0,469,69030,0
ID01,ID01_Session02,0,78,69780,281
ID01,ID01_Session02,0,109,70312,454
ID01,ID01_Session02,0,109,83374,12953
ID01,ID01_Session02,0,156,112905,29422
ID01,ID01_Session02,0,140,115718,2657
ID01,ID01_Session02,1,10844,117608,1750
ID01,ID01_Session02,0,62,128452,0
ID01,ID01_Session02,1,7156,129921,1407
ID01,ID01_Session02,0,109,137077,0
ID01,ID01_Session02,1,11188,137920,734
ID01,ID01_Session02,0,125,149108,0
ID01,ID01_Session02,1,27781,157592,8359
ID01,ID01_Session02,0,94,185373,0
ID01,ID01_Session02,0,156,187983,2516
ID01,ID01_Session02,1,16719,188592,453
ID01,ID01_Session02,0,78,205311,0
ID01,ID01_Session02,0,328,225826,20437
ID01,ID01_Session02,0,78,226561,407
ID01,ID01_Session02,0,641,230326,3687
ID01,ID01_Session02,0,78,231217,250
ID01,ID01_Session02,1,17594,232107,812
ID01,ID01_Session02,0,109,249701,0
ID01,ID01_Session02,0,531,250904,1094
ID01,ID01_Session02,0,110,251654,219
ID01,ID01_Session02,0,94,281685,29921
ID01,ID01_Session02,1,43453,285779,4000
ID01,ID01_Session02,1,7516,330638,1406
ID01,ID01_Session02,0,1640,338154,0
ID01,ID01_Session02,0,94,339997,203
ID01,ID01_Session02,1,41702,347529,7438
ID01,ID01_Session02,1,39250,409981,20750
ID01,ID01_Session02,1,11844,451137,1906
ID01,ID01_Session02,0,125,462981,0
ID01,ID01_Session02,0,109,468856,5750
ID01,ID01_Session02,0,109,469575,610
ID01,ID01_Session02,0,500,475981,6297
ID01,ID01_Session02,0,63,476668,187
ID01,ID01_Session02,0,672,477887,1156
ID01,ID01_Session02,0,94,478731,172
ID01,ID01_Session02,0,719,480481,1656
ID01,ID01_Session02,0,125,481340,140
ID01,ID01_Session02,0,94,576308,94843
ID01,ID01_Session02,0,79,576761,359
ID01,ID01_Session02,0,391,577402,562
ID01,ID01_Session02,0,63,577980,187
ID01,ID01_Session02,0,547,581746,3703
ID01,ID01_Session02,0,93,582418,125
ID01,ID01_Session02,0,515,583246,735
ID01,ID01_Session02,0,94,583949,188
ID01,ID01_Session02,0,515,584371,328
ID01,ID01_Session02,0,110,585058,172
ID01,ID01_Session02,0,484,586402,1234
ID01,ID01_Session02,0,78,587058,172
ID01,ID01_Session02,0,797,587933,797
ID01,ID01_Session02,0,78,588902,172
ID01,ID01_Session02,1,9984,589449,469
ID01,ID01_Session02,0,203,599433,0
ID01,ID01_Session02,0,2156,605855,6219
ID01,ID01_Session02,0,109,609121,1110
ID01,ID01_Session02,0,516,633511,24281
ID01,ID01_Session02,0,94,634245,218
ID01,ID01_Session02,1,42453,635261,922
ID01,ID01_Session02,0,219,677714,0
ID01,ID01_Session02,0,218,678605,672
ID01,ID01_Session02,0,110,679151,328
ID01,ID01_Session02,1,9249,679980,719
ID01,ID01_Session02,0,109,825713,136484
ID01,ID01_Session02,1,3032,826447,625
ID01,ID01_Session02,0,109,829479,0
ID01,ID01_Session02,0,110,831369,1781
ID01,ID01_Session02,1,2016,832025,546
ID01,ID01_Session02,0,78,834041,0
ID01,ID01_Session02,0,79,835900,1781
ID01,ID01_Session02,0,828,841916,5937
ID01,ID01_Session02,0,78,843041,297
ID01,ID01_Session02,0,109,860166,17047
ID01,ID01_Session02,0,390,861213,938
ID01,ID01_Session02,0,79,861806,203
ID01,ID01_Session02,1,6656,862572,687
ID01,ID01_Session02,1,6297,869713,485
ID01,ID01_Session02,0,140,876010,0
ID01,ID01_Session02,0,125,880556,4406
ID01,ID01_Session02,1,1109,881213,532
ID01,ID01_Session02,0,94,882322,0
ID01,ID01_Session02,0,171,893338,10922
ID01,ID01_Session02,1,15219,893931,422
ID01,ID01_Session02,0,109,909150,0
ID01,ID01_Session02,0,141,912806,3547
ID01,ID01_Session02,0,94,918197,5250
ID01,ID01_Session02,0,469,947181,28890
ID01,ID01_Session02,0,62,949072,1422
ID01,ID01_Session02,1,39594,949634,500
ID01,ID01_Session02,0,94,1057383,68155
ID01,ID01_Session02,0,94,1061071,3594
ID01,ID01_Session02,0,94,1061852,687
ID01,ID01_Session02,0,110,1068836,6890
ID01,ID01_Session02,1,38312,1070915,1969
ID01,ID01_Session02,2,2672,1121992,12765
ID01,ID01_Session02,1,18547,1330678,1828
ID01,ID01_Session02,1,46828,1353663,4438
ID01,ID01_Session02,0,78,1400491,0
ID01,ID01_Session02,0,109,1403069,2500
ID01,ID01_Session02,0,125,1408147,4969
ID01,ID01_Session02,0,110,1412037,3765
ID01,ID01_Session02,0,94,1423084,10937
ID01,ID01_Session02,0,93,1427147,3969
ID01,ID01_Session02,0,62,1432881,5641
ID01,ID01_Session02,0,109,1435959,3016
ID01,ID01_Session02,0,63,1440115,4047
ID01,ID01_Session02,0,94,1443443,3265
ID01,ID01_Session02,0,109,1446006,2469
ID01,ID01_Session02,0,94,1448443,2328
ID01,ID01_Session02,0,78,1450287,1750
ID01,ID01_Session02,0,141,1453240,2875
ID01,ID01_Session02,1,15203,1454021,640
ID01,ID01_Session02,0,125,1554302,85078
ID01,ID01_Session02,0,391,1557599,3172
ID01,ID01_Session02,0,78,1558208,218
ID01,ID01_Session02,1,8094,1559333,1047
ID01,ID01_Session02,0,94,1567427,0
ID01,ID01_Session02,1,1641,1568458,937
ID01,ID01_Session02,0,78,1570099,0
ID01,ID01_Session02,0,125,1573474,3297
ID01,ID01_Session02,0,94,1575224,1625
ID01,ID01_Session02,0,125,1577943,2625
ID01,ID01_Session02,0,63,1580005,1937
ID01,ID01_Session02,0,110,1581536,1468
ID01,ID01_Session02,0,63,1583114,1468
ID01,ID01_Session02,0,78,1583677,500
ID01,ID01_Session02,0,78,1584833,1078
ID01,ID01_Session02,0,47,1585317,406
ID01,ID01_Session02,0,157,1588114,2750
ID01,ID01_Session02,0,125,1589114,843
ID01,ID01_Session02,0,125,1591786,2547
ID01,ID01_Session02,0,109,1601427,9516
ID01,ID01_Session02,1,31281,1601911,375
ID01,ID01_Session02,0,110,1633192,0
ID01,ID01_Session02,0,94,1637083,3781
ID01,ID01_Session02,1,1000,1648223,11046
ID01,ID01_Session02,1,38109,1649223,0
ID01,ID01_Session02,0,125,1687332,0
ID01,ID01_Session02,0,157,1689629,2172
ID01,ID01_Session02,1,7766,1690332,546
ID01,ID01_Session02,0,109,1698098,0
ID01,ID01_Session02,0,110,1711129,12922
ID01,ID01_Session02,0,109,1726598,15359
ID01,ID01_Session02,0,94,1728473,1766
ID01,ID01_Session02,1,20063,1728707,140
ID01,ID01_Session02,0,78,1748770,0
ID01,ID01_Session02,0,94,1750957,2109
ID01,ID01_Session02,1,2109,1751426,375
ID01,ID01_Session02,0,125,1753535,0
ID01,ID01_Session02,1,2281,1755582,1922
ID01,ID01_Session02,0,94,1757863,0
ID01,ID01_Session03,1,625,26578,26516
ID01,ID01_Session03,1,9875,27296,93
ID01,ID01_Session03,0,94,37171,0
ID01,ID01_Session03,0,78,40640,3375
ID01,ID01_Session03,1,26140,42671,1953
ID01,ID01_Session03,0,94,68811,0
ID01,ID01_Session03,1,16921,70280,1375
ID01,ID01_Session03,0,359,87311,110
ID01,ID01_Session03,0,93,87858,188
ID01,ID01_Session03,1,47014,100186,12235
ID01,ID01_Session03,1,11250,148075,875
ID01,ID01_Session03,0,109,159325,0
ID01,ID01_Session03,1,10469,162637,3203
ID01,ID01_Session03,0,125,173106,0
ID01,ID01_Session03,1,3343,177278,4047
ID01,ID01_Session03,0,79,180621,0
ID01,ID01_Session03,0,94,233120,52420
ID01,ID01_Session03,1,5609,240558,7344
ID01,ID01_Session03,0,516,246167,0
ID01,ID01_Session03,0,62,246886,203
ID01,ID01_Session03,0,875,250183,3235
ID01,ID01_Session03,0,93,251386,328
ID01,ID01_Session03,0,500,252292,813
ID01,ID01_Session03,0,94,252979,187
ID01,ID01_Session03,1,56905,270292,17219
ID01,ID01_Session03,0,63,328790,1593
ID01,ID01_Session03,0,109,342509,13656
ID01,ID01_Session03,1,7406,343118,500
ID01,ID01_Session03,0,94,350524,0
ID01,ID01_Session03,0,94,356915,6297
ID01,ID01_Session03,0,94,363415,6406
ID01,ID01_Session03,1,8765,411586,48077
ID01,ID01_Session03,0,110,420351,0
ID01,ID01_Session03,0,94,426148,5687
ID01,ID01_Session03,1,2453,436070,9828
ID01,ID01_Session03,0,62,438523,0
ID01,ID01_Session03,0,109,441007,2422
ID01,ID01_Session03,1,3874,443320,2204
ID01,ID01_Session03,0,125,447663,469
ID01,ID01_Session03,0,78,450023,2235
ID01,ID01_Session03,0,172,453397,3296
ID01,ID01_Session03,1,12718,454257,688
ID01,ID01_Session03,0,141,466975,0
ID01,ID01_Session03,1,38765,468428,1312
ID01,ID01_Session03,1,27671,539521,32328
ID01,ID01_Session03,1,6719,567286,94
ID01,ID01_Session03,0,62,574005,0
ID01,ID01_Session03,0,94,574348,281
ID01,ID01_Session03,1,46687,580504,6062
ID01,ID01_Session03,0,93,645238,18047
ID01,ID01_Session03,1,7813,646081,750
ID01,ID01_Session03,0,93,653894,0
ID01,ID01_Session03,0,94,655081,1094
ID01,ID01_Session03,1,16312,656628,1453
ID01,ID01_Session03,0,125,672940,0
ID01,ID01_Session03,1,13906,673284,219
ID01,ID01_Session03,0,172,702846,15656
ID01,ID01_Session03,0,625,708314,5296
ID01,ID01_Session03,0,125,709143,204
ID01,ID01_Session03,1,22640,724549,15281
ID01,ID01_Session03,1,57312,749876,2687
ID01,ID01_Session03,1,3515,852312,45124
ID01,ID01_Session03,0,125,855827,0
ID01,ID01_Session03,0,47,858405,2453
ID01,ID01_Session03,1,4235,860358,1906
ID01,ID01_Session03,0,1187,864593,0
ID01,ID01_Session03,0,78,865983,203
ID01,ID01_Session03,1,7078,869468,3407
ID01,ID01_Session03,0,125,876546,0
ID01,ID01_Session03,1,36296,890889,14218
ID01,ID01_Session03,0,94,941122,13937
ID01,ID01_Session03,0,125,943857,2641
ID01,ID01_Session03,1,40327,946857,2875
ID01,ID01_Session03,0,140,1057605,70421
ID01,ID01_Session03,1,2313,1058573,828
