userID,sessionID,actionTakenNumeric,durationMSEC,timelineMSEC,idleTime,X,Y,reldist,totaldist
ID01,ID01_Session01,0,312,1496413,0,796,590,22.47,162.11
ID01,ID01_Session01,0,94,1496897,172,847,642,49.65,50.07
ID01,ID01_Session01,1,968,1497413,422,853,633,10.82,13.24
ID01,ID01_Session01,0,375,1498381,0,756,462,196.60,254.79
ID01,ID01_Session01,0,94,1498928,172,834,471,7.00,8.24
ID01,ID01_Session01,0,390,1499522,500,757,502,83.01,106.88
ID01,ID01_Session01,0,94,1500084,172,829,523,34.00,35.26
ID01,ID01_Session01,1,2047,1500678,500,836,520,7.62,20.00
ID01,ID01_Session01,0,672,1502725,0,733,361,189.45,333.59
ID01,ID01_Session01,0,110,1503537,140,850,377,40.31,40.90
ID01,ID01_Session01,0,844,1504678,1031,723,380,127.04,142.78
ID01,ID01_Session01,0,94,1505678,156,836,409,51.04,52.32
ID01,ID01_Session01,0,469,1506209,437,762,396,75.13,79.44
ID01,ID01_Session01,0,62,1506819,141,823,406,12.21,12.95
ID01,ID01_Session01,0,797,1507537,656,716,421,108.05,116.01
ID01,ID01_Session01,0,125,1508506,172,895,422,8.25,8.65
ID01,ID01_Session01,0,422,1511272,2641,836,404,61.68,642.63
ID01,ID01_Session01,0,94,1511881,187,870,447,15.81,17.48
ID01,ID01_Session01,1,1735,1513256,1281,924,423,59.09,101.41
ID01,ID01_Session01,0,765,1514991,0,732,417,192.07,288.26
ID01,ID01_Session01,0,110,1515912,156,852,427,11.66,13.30
ID01,ID01_Session01,1,906,1517350,1328,785,418,67.60,82.12
ID01,ID01_Session01,0,1266,1518256,0,738,388,55.76,68.98
ID01,ID01_Session01,0,94,1519709,187,903,419,12.37,13.65
ID01,ID01_Session01,0,906,1520897,1094,741,405,162.60,177.50
ID01,ID01_Session01,0,125,1522053,250,906,411,0.00,0.00
ID01,ID01_Session01,0,125,1544084,21906,824,586,193.26,3544.75
ID01,ID01_Session01,0,1562,1546647,2438,744,466,144.22,201.76
ID01,ID01_Session01,0,94,1548412,203,911,604,29.73,33.63
ID01,ID01_Session01,0,109,1549381,875,553,499,373.08,396.57
ID01,ID01_Session01,1,38077,1558100,8610,1006,446,456.09,1315.56
ID01,ID01_Session01,0,94,1637177,41000,799,584,156.55,500.43
ID01,ID01_Session01,1,2640,1638037,766,634,593,165.25,184.47
ID01,ID01_Session01,0,94,1640677,0,9,59,764.74,859.96
ID01,ID01_Session01,1,4109,1664943,24172,758,592,919.29,2325.79
ID01,ID01_Session01,0,109,1669052,0,1462,571,696.00,1290.35
ID01,ID01_Session01,0,94,1671161,2000,1128,651,343.45,360.44
ID01,ID01_Session01,0,109,1675599,4344,577,555,559.30,1053.18
ID01,ID01_Session01,0,375,1676958,1250,767,466,209.81,312.58
ID01,ID01_Session01,0,62,1677521,188,867,502,24.41,26.44
ID01,ID01_Session01,1,12484,1687521,9938,757,561,124.82,134.82
ID01,ID01_Session01,0,109,1700005,0,595,498,177.16,2456.87
ID01,ID01_Session01,1,15078,1701099,985,749,460,158.62,177.00
ID01,ID01_Session01,0,94,1717739,1562,26,57,828.60,1036.65
ID01,ID01_Session01,0,125,1720395,2562,350,744,759.57,2916.78
ID01,ID01_Session01,1,35765,1722677,2157,380,698,54.92,110.89
ID01,ID01_Session01,0,94,1758442,0,1113,597,755.05,2048.12
ID01,ID01_Session01,1,16968,1759208,672,704,555,411.15,466.14
ID01,ID01_Session02,0,110,12374,12281,1201,703,3.61,3474.03
ID01,ID01_Session02,1,10546,16828,4344,777,638,428.95,501.05
ID01,ID01_Session02,0,125,27374,0,673,793,185.00,406.08
ID01,ID01_Session02,1,1250,27984,485,675,770,23.09,24.41
ID01,ID01_Session02,1,7594,33390,4156,667,755,17.00,35.96
ID01,ID01_Session02,0,93,40984,0,692,776,32.65,842.91
ID01,ID01_Session02,0,140,45937,4860,45,734,648.36,985.97
ID01,ID01_Session02,1,21718,47312,1235,57,733,12.04,21.24
ID01,ID01_Session02,0,469,69030,0,404,509,408.81,464.61
ID01,ID01_Session02,0,78,69780,281,485,533,16.12,18.28
ID01,ID01_Session02,0,109,70312,454,512,525,28.16,54.48
ID01,ID01_Session02,0,109,83374,12953,313,538,199.42,763.63
ID01,ID01_Session02,0,156,112905,29422,23,59,559.95,823.49
ID01,ID01_Session02,0,140,115718,2657,74,610,553.36,1003.60
ID01,ID01_Session02,1,10844,117608,1750,105,587,38.60,50.21
ID01,ID01_Session02,0,62,128452,0,544,750,464.54,1322.54
ID01,ID01_Session02,1,7156,129921,1407,540,719,31.26,34.41
ID01,ID01_Session02,0,109,137077,0,601,655,88.41,779.95
ID01,ID01_Session02,1,11188,137920,734,602,658,3.16,17.41
ID01,ID01_Session02,0,125,149108,0,929,583,321.12,652.76
ID01,ID01_Session02,1,27781,157592,8359,547,719,405.49,1425.42
ID01,ID01_Session02,0,94,185373,0,20,65,806.49,2187.18
ID01,ID01_Session02,0,156,187983,2516,86,628,566.86,1500.11
ID01,ID01_Session02,1,16719,188592,453,176,576,98.48,105.55
ID01,ID01_Session02,0,78,205311,0,577,792,304.38,337.25
ID01,ID01_Session02,0,328,225826,20437,531,510,285.73,1927.24
ID01,ID01_Session02,0,78,226561,407,658,532,56.52,59.48
ID01,ID01_Session02,0,641,230326,3687,506,485,159.10,265.46
ID01,ID01_Session02,0,78,231217,250,576,501,11.40,14.24
ID01,ID01_Session02,1,17594,232107,812,553,480,31.14,64.89
ID01,ID01_Session02,0,109,249701,0,327,511,228.12,1309.55
ID01,ID01_Session02,0,531,250904,1094,328,511,1.00,1.00
ID01,ID01_Session02,0,110,251654,219,381,527,11.18,11.89
ID01,ID01_Session02,0,94,281685,29921,544,613,184.30,333.39
ID01,ID01_Session02,1,43453,285779,4000,566,534,82.01,91.52
ID01,ID01_Session02,1,7516,330638,1406,519,546,7.07,8.00
ID01,ID01_Session02,0,1640,338154,0,436,585,91.71,124.96
ID01,ID01_Session02,0,94,339997,203,700,588,0.00,0.00
ID01,ID01_Session02,1,41702,347529,7438,689,582,12.53,23.24
ID01,ID01_Session02,1,39250,409981,20750,546,612,111.66,188.88
ID01,ID01_Session02,1,11844,451137,1906,426,529,1.00,1.00
ID01,ID01_Session02,0,125,462981,0,16,67,618.44,1206.41
ID01,ID01_Session02,0,109,468856,5750,510,830,908.96,1749.29
ID01,ID01_Session02,0,109,469575,610,516,776,54.33,55.20
ID01,ID01_Session02,0,500,475981,6297,618,452,339.68,1871.18
ID01,ID01_Session02,0,63,476668,187,733,478,24.19,25.24
ID01,ID01_Session02,0,672,477887,1156,494,478,239.00,255.90
ID01,ID01_Session02,0,94,478731,172,697,489,2.24,3.00
ID01,ID01_Session02,0,719,480481,1656,477,510,221.00,276.10
ID01,ID01_Session02,0,125,481340,140,615,527,1.41,3.41
