Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info,Testing
2010:02:01,13:51:14,128,"firefox.exe","Island residents sue U.S., sa...ck - CNN.com - Mozilla Firefox",Left mouse button pressed,1048,561,1.00,1.00,1.00, 
2010:02:01,13:51:14,253,"firefox.exe","Island residents sue U.S., sa...ck - CNN.com - Mozilla Firefox",Left mouse button released,1048,561,0.00,0.00,0.00, 
2010:02:01,13:51:14,503,"firefox.exe","Island residents sue U.S., sa...ck - CNN.com - Mozilla Firefox",Left mouse button pressed,1019,561,29.00,29.00,1.00, 
2010:02:01,13:51:15,800,"firefox.exe","Island residents sue U.S., sa...ck - CNN.com - Mozilla Firefox",Left mouse button released,706,561,313.00,316.48,0.99, 
2010:02:01,13:51:16,940,"firefox.exe","Island residents sue U.S., sa...ck - CNN.com - Mozilla Firefox",Left mouse button pressed,687,584,29.83,77.28,0.39, 
2010:02:01,13:51:17,409,"firefox.exe","Island residents sue U.S., sa...ck - CNN.com - Mozilla Firefox",Left mouse button released,874,584,187.00,188.15,0.99, 
2010:02:01,13:51:27,237,"firefox.exe","Island residents sue U.S., sa...ck - CNN.com - Mozilla Firefox",Mouse wheel,1030,625,161.30,234.21,0.69, 
2010:02:01,13:52:00,985,"Explorer.EXE","1:51 PM",Mouse wheel stopped,1030,619,0.00,0.00,1.00,3 Wheel actions
2010:02:01,13:52:22,328,"firefox.exe","Island residents sue U.S., sa...ck - CNN.com - Mozilla Firefox",Mouse wheel,799,536,249.06,286.32,0.87, 
2010:02:01,13:53:00,499,"firefox.exe","Island residents sue U.S., sa...ck - CNN.com - Mozilla Firefox",Mouse wheel stopped,704,205,0.00,0.00,1.00,77 Wheel actions
2010:02:01,13:53:00,499,"firefox.exe","Island residents sue U.S., sa...ck - CNN.com - Mozilla Firefox",Left mouse button pressed,704,205,249.05,331.03,0.75, 
2010:02:01,13:53:00,624,"firefox.exe","Island residents sue U.S., sa...ck - CNN.com - Mozilla Firefox",Left mouse button released,704,205,0.00,0.00,0.00, 
2010:02:01,13:53:03,389,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Mouse wheel,628,360,172.63,203.19,0.85, 
2010:02:01,13:54:00,981,"Explorer.EXE","1:53 PM",Mouse wheel stopped,761,669,0.00,0.00,1.00,14 Wheel actions
2010:02:01,13:54:32,761,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Mouse wheel,806,742,166.77,1130.88,0.15, 
2010:02:01,13:54:49,010,"firefox.exe","U.S. News - Headlines, Storie...from CNN.com - Mozilla Firefox",Mouse wheel stopped,990,547,0.00,0.00,1.00,2 Wheel actions
